mirna	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7
hsa-let-7a-2-3p	5.0	13.0	4.0	9.0	11.0	6.0	9.0	0.0	4.0	2.0	12.0	12.0	8.0	3.0	13.0	11.0	13.0	22.0	14.0	10.0	9.0	2.0	7.0	9.0	0.0	3.0	4.0	10.0
hsa-let-7a-3p	786.0	743.0	648.0	627.0	754.0	401.0	727.0	260.0	520.0	349.0	663.0	631.0	478.0	535.0	1312.0	944.0	990.0	1075.0	1631.0	652.0	1234.0	550.0	758.0	1387.0	987.0	439.0	615.0	1177.0
hsa-let-7a-5p	323797.0	253320.0	207420.0	267033.0	251219.0	157292.0	227796.0	211356.0	228783.0	157066.0	180176.0	196390.0	238542.0	205464.0	512895.0	359134.0	379142.0	493207.0	472098.0	217279.0	346477.0	151829.0	326471.0	505129.0	423109.0	153305.0	301292.0	526918.0
hsa-let-7b-3p	1061.0	2035.0	692.0	1431.0	1939.0	725.0	1565.0	347.0	954.0	503.0	1177.0	1230.0	1458.0	1011.0	1671.0	1976.0	1278.0	2003.0	2858.0	877.0	1728.0	764.0	1418.0	2013.0	1152.0	574.0	1057.0	1610.0
hsa-let-7b-5p	71946.0	70733.0	43718.0	69967.0	65853.0	37853.0	62042.0	23243.0	48900.0	29275.0	44654.0	46983.0	66802.0	50090.0	117404.0	79152.0	80592.0	100703.0	96370.0	44129.0	70039.0	30406.0	67427.0	99636.0	73158.0	29677.0	54505.0	94972.0
hsa-let-7c-3p	36.0	16.0	25.0	40.0	26.0	23.0	35.0	3.0	30.0	28.0	26.0	24.0	22.0	17.0	68.0	26.0	53.0	54.0	45.0	27.0	56.0	22.0	20.0	39.0	52.0	21.0	49.0	76.0
hsa-let-7c-5p	75684.0	30716.0	48854.0	63658.0	39162.0	49647.0	61959.0	39046.0	55163.0	41266.0	52171.0	49977.0	52445.0	54417.0	119956.0	37302.0	90718.0	102819.0	64986.0	62573.0	81648.0	37114.0	51189.0	73105.0	87986.0	34913.0	66617.0	138369.0
hsa-let-7d-3p	2003.0	1412.0	1282.0	2393.0	2191.0	1111.0	1866.0	943.0	1923.0	1141.0	1895.0	2157.0	2324.0	1802.0	3123.0	2476.0	2327.0	3167.0	3180.0	1456.0	2015.0	1319.0	1490.0	2786.0	1936.0	808.0	2020.0	2695.0
hsa-let-7d-5p	14536.0	8576.0	8873.0	10925.0	7977.0	5914.0	8991.0	4170.0	10020.0	6970.0	7307.0	8009.0	9763.0	7914.0	22923.0	10862.0	16074.0	18388.0	13609.0	8118.0	12903.0	5343.0	8349.0	18201.0	16305.0	5440.0	12419.0	19645.0
hsa-let-7e-3p	257.0	141.0	220.0	307.0	209.0	158.0	277.0	60.0	235.0	120.0	216.0	216.0	238.0	218.0	434.0	175.0	386.0	509.0	333.0	217.0	317.0	174.0	162.0	296.0	326.0	184.0	262.0	356.0
hsa-let-7e-5p	41755.0	13309.0	24575.0	24628.0	16793.0	14208.0	22347.0	13363.0	26672.0	17271.0	17860.0	17403.0	20111.0	19258.0	59010.0	18834.0	41520.0	41948.0	28531.0	18481.0	29979.0	11858.0	17411.0	33956.0	46938.0	13527.0	31586.0	52162.0
hsa-let-7f-1-3p	112.0	117.0	85.0	137.0	154.0	59.0	118.0	51.0	111.0	43.0	127.0	125.0	127.0	99.0	246.0	140.0	180.0	209.0	285.0	83.0	205.0	80.0	113.0	210.0	147.0	65.0	130.0	202.0
hsa-let-7f-2-3p	559.0	254.0	390.0	374.0	297.0	247.0	412.0	81.0	362.0	239.0	367.0	295.0	273.0	299.0	810.0	349.0	675.0	668.0	654.0	317.0	606.0	244.0	339.0	603.0	789.0	270.0	368.0	707.0
hsa-let-7f-5p	263285.0	115864.0	162112.0	181038.0	134450.0	101995.0	143972.0	235660.0	155767.0	110540.0	114944.0	122383.0	151448.0	132745.0	382171.0	233256.0	282153.0	346885.0	262583.0	142319.0	223091.0	99662.0	167925.0	319489.0	293958.0	101675.0	209017.0	349059.0
hsa-let-7g-3p	265.0	188.0	163.0	235.0	243.0	157.0	264.0	41.0	181.0	119.0	250.0	210.0	168.0	171.0	314.0	119.0	226.0	216.0	236.0	131.0	193.0	122.0	107.0	164.0	180.0	106.0	116.0	200.0
hsa-let-7g-5p	97754.0	47616.0	56988.0	68275.0	49271.0	41316.0	55863.0	42732.0	64048.0	40719.0	48610.0	51300.0	58320.0	51023.0	130984.0	57854.0	91969.0	107086.0	81061.0	47099.0	76583.0	30941.0	46375.0	103044.0	99836.0	34121.0	71934.0	116048.0
hsa-let-7i-3p	180.0	293.0	143.0	217.0	296.0	162.0	279.0	45.0	197.0	128.0	353.0	283.0	215.0	231.0	287.0	191.0	205.0	183.0	314.0	122.0	202.0	194.0	152.0	262.0	185.0	120.0	111.0	203.0
hsa-let-7i-5p	42349.0	30142.0	27800.0	41644.0	32696.0	27821.0	46655.0	35228.0	31104.0	19185.0	35469.0	34217.0	44125.0	40543.0	62384.0	34033.0	48604.0	56442.0	46428.0	30215.0	47134.0	26182.0	27563.0	54364.0	42304.0	28841.0	53893.0	53575.0
hsa-miR-1-3p	42.0	2.0	25.0	13.0	14.0	21.0	17.0	200.0	19.0	22.0	11.0	16.0	20.0	18.0	62.0	14.0	51.0	30.0	48.0	19.0	17.0	12.0	185.0	38.0	49.0	33.0	35.0	47.0
hsa-miR-1-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-100-3p	52.0	170.0	66.0	61.0	113.0	35.0	76.0	22.0	64.0	47.0	41.0	71.0	88.0	50.0	99.0	183.0	101.0	111.0	190.0	75.0	114.0	48.0	143.0	168.0	65.0	36.0	71.0	132.0
hsa-miR-100-5p	19035.0	63334.0	17152.0	29684.0	36182.0	17343.0	21765.0	20645.0	24435.0	16600.0	14856.0	18711.0	30565.0	17884.0	51578.0	101447.0	41372.0	67120.0	63501.0	18961.0	28930.0	14490.0	36829.0	49319.0	30569.0	13138.0	15712.0	21411.0
hsa-miR-101-3p	129550.0	119396.0	95528.0	123362.0	136507.0	91471.0	150374.0	30936.0	105411.0	71445.0	106242.0	109939.0	96048.0	110977.0	177130.0	135429.0	155924.0	158481.0	190832.0	97952.0	145394.0	75460.0	126247.0	193359.0	136876.0	80950.0	93805.0	161711.0
hsa-miR-101-5p	652.0	579.0	482.0	784.0	691.0	413.0	732.0	49.0	486.0	422.0	835.0	744.0	607.0	592.0	1377.0	604.0	864.0	1005.0	1024.0	560.0	787.0	418.0	525.0	913.0	735.0	503.0	506.0	839.0
hsa-miR-103a-2-5p	10.0	10.0	7.0	20.0	7.0	16.0	20.0	21.0	7.0	17.0	24.0	16.0	16.0	11.0	47.0	12.0	30.0	41.0	21.0	16.0	33.0	18.0	4.0	7.0	23.0	28.0	28.0	36.0
hsa-miR-103a-3p	96834.0	42058.0	52312.0	97955.0	54728.0	59996.0	101068.0	22161.0	70315.0	49191.0	78302.0	60364.0	70244.0	75356.0	145058.0	46693.0	91442.0	113901.0	70719.0	61514.0	81580.0	41639.0	37285.0	79226.0	95164.0	48463.0	88189.0	105930.0
hsa-miR-105-3p	39.0	6.0	19.0	18.0	9.0	10.0	19.0	8.0	34.0	6.0	18.0	22.0	9.0	11.0	44.0	5.0	42.0	34.0	15.0	29.0	21.0	30.0	8.0	10.0	26.0	6.0	25.0	28.0
hsa-miR-105-5p	238.0	39.0	105.0	144.0	28.0	55.0	98.0	5.0	109.0	70.0	70.0	112.0	67.0	37.0	303.0	48.0	200.0	165.0	82.0	64.0	126.0	44.0	57.0	99.0	193.0	56.0	125.0	241.0
hsa-miR-106a-3p	2.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	2.0	3.0	3.0	6.0	5.0	4.0	2.0	0.0	0.0	3.0	2.0	0.0	2.0	0.0
hsa-miR-106a-5p	127.0	135.0	78.0	167.0	117.0	76.0	138.0	22.0	147.0	64.0	117.0	123.0	111.0	129.0	198.0	111.0	123.0	176.0	151.0	69.0	127.0	37.0	45.0	138.0	198.0	102.0	96.0	238.0
hsa-miR-106b-3p	431.0	651.0	392.0	772.0	759.0	333.0	704.0	260.0	533.0	254.0	470.0	535.0	630.0	503.0	553.0	541.0	534.0	762.0	737.0	325.0	428.0	278.0	473.0	721.0	414.0	229.0	373.0	448.0
hsa-miR-106b-5p	1029.0	1337.0	825.0	1333.0	1312.0	718.0	890.0	183.0	606.0	478.0	917.0	891.0	1008.0	873.0	1409.0	1295.0	1163.0	1668.0	1707.0	823.0	1176.0	494.0	810.0	1320.0	986.0	617.0	785.0	1170.0
hsa-miR-107	30405.0	12802.0	15717.0	31061.0	15688.0	19152.0	32316.0	6081.0	21888.0	15202.0	25103.0	18427.0	22577.0	25373.0	44149.0	12899.0	27040.0	36967.0	19912.0	19223.0	24834.0	12538.0	10590.0	22411.0	28373.0	15532.0	28031.0	32146.0
hsa-miR-10a-5p	784.0	244.0	610.0	676.0	59.0	445.0	469.0	412.0	2313.0	205.0	396.0	365.0	487.0	415.0	1364.0	296.0	1075.0	1028.0	118.0	558.0	578.0	432.0	615.0	530.0	1930.0	796.0	440.0	974.0
hsa-miR-10b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
hsa-miR-10b-5p	601.0	401.0	677.0	683.0	378.0	338.0	431.0	277.0	333.0	226.0	196.0	1322.0	295.0	273.0	1199.0	520.0	1257.0	1220.0	603.0	509.0	610.0	487.0	687.0	523.0	663.0	570.0	849.0	1504.0
hsa-miR-1178-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1179	288.0	53.0	137.0	190.0	65.0	64.0	176.0	38.0	148.0	84.0	187.0	154.0	87.0	64.0	417.0	54.0	249.0	303.0	93.0	103.0	229.0	99.0	43.0	159.0	334.0	176.0	289.0	402.0
hsa-miR-1180-3p	3190.0	414.0	1496.0	1983.0	828.0	964.0	1426.0	370.0	2291.0	1278.0	1387.0	1298.0	1184.0	1017.0	3225.0	402.0	1768.0	1771.0	744.0	721.0	1033.0	537.0	517.0	1111.0	2092.0	671.0	1479.0	1831.0
hsa-miR-1180-5p	5.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	3.0	4.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0
hsa-miR-1185-1-3p	68.0	15.0	45.0	25.0	9.0	11.0	26.0	8.0	25.0	39.0	29.0	31.0	13.0	13.0	92.0	21.0	93.0	61.0	45.0	19.0	58.0	22.0	47.0	45.0	84.0	38.0	64.0	101.0
hsa-miR-1185-2-3p	9.0	0.0	6.0	2.0	0.0	2.0	4.0	2.0	4.0	0.0	7.0	0.0	6.0	3.0	13.0	2.0	12.0	17.0	7.0	9.0	4.0	2.0	6.0	14.0	13.0	7.0	12.0	16.0
hsa-miR-1185-5p	1683.0	141.0	975.0	916.0	372.0	567.0	882.0	73.0	1127.0	786.0	716.0	911.0	429.0	645.0	2777.0	225.0	1736.0	1505.0	668.0	839.0	1520.0	669.0	313.0	924.0	2109.0	648.0	1256.0	2104.0
