Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
cc1	pass	0.0	fail	21.8867987493	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	warn	8678102.0	pass	fail	fail	46.0	5.51394304929	cc1	fail	pass
cc2	pass	0.0	fail	21.752262344	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	fail	7530906.0	pass	fail	fail	47.0	5.59537988933	cc2	fail	pass
cc3	pass	0.0	fail	21.8709930539	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	warn	5811346.0	pass	fail	fail	46.0	4.86679309675	cc3	pass	pass
cc4	pass	0.0	fail	21.7979131846	Illumina 1.5	fail	pass	warn	17-28	Conventional base calls	pass	warn	8438408.0	pass	fail	fail	47.0	4.79374366339	cc4	pass	pass
cc5	pass	0.0	fail	21.7715402833	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	fail	7672543.0	pass	fail	fail	46.0	4.82438355574	cc5	fail	pass
cc6	pass	0.0	fail	21.7149733677	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	warn	5334498.0	pass	fail	fail	47.0	6.05805236484	cc6	fail	pass
cc7	pass	0.0	fail	21.7396575945	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	warn	9001315.0	pass	fail	fail	47.0	6.12922662874	cc7	fail	pass
ct1	pass	0.0	fail	21.5016502688	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	warn	3623955.0	pass	fail	fail	47.0	7.10156482093	ct1	pass	pass
ct2	pass	0.0	fail	21.7542232554	Illumina 1.5	warn	pass	warn	17-28	Conventional base calls	pass	warn	6621314.0	pass	fail	fail	47.0	5.55221796106	ct2	pass	pass
ct3	pass	0.0	fail	21.8727551986	Illumina 1.5	fail	pass	warn	17-28	Conventional base calls	pass	fail	5454046.0	pass	fail	fail	49.0	11.1510915271	ct3	pass	pass
