Sample	FastQC_percent_gc	bcbio_isomiRs	FastQC_total_sequences	bcbio_miRNAs	FastQC_percent_duplicates	FastQC_avg_sequence_length	FastQC_percent_fails
cc1	46.0	32262	8678102.0	982	94.4860569507	21.8867987493	33.3333333333
cc2	47.0	25924	7530906.0	861	94.4046201107	21.752262344	41.6666666667
cc3	46.0	24009	5811346.0	904	95.1332069032	21.8709930539	25.0
cc4	47.0	30923	8438408.0	962	95.2062563366	21.7979131846	33.3333333333
cc5	46.0	29098	7672543.0	894	95.1756164443	21.7715402833	41.6666666667
cc6	47.0	24629	5334498.0	839	93.9419476352	21.7149733677	33.3333333333
cc7	47.0	39456	9001315.0	937	93.8707733713	21.7396575945	33.3333333333
ct1	47.0	16061	3623955.0	771	92.8984351791	21.5016502688	25.0
ct2	47.0	26561	6621314.0	922	94.4477820389	21.7542232554	25.0
ct3	49.0	19982	5454046.0	845	88.8489084729	21.8727551986	41.6666666667
ct4	47.0	24649	6514309.0	886	94.6844047279	21.7458289129	33.3333333333
ct5	48.0	27064	7341377.0	915	93.377176301	21.7567208441	41.6666666667
ct6	47.0	27537	7503409.0	896	94.9825764885	21.8106780531	41.6666666667
ct7	47.0	32757	6713931.0	869	93.2921923296	21.7866123438	33.3333333333
pc1	47.0	37940	16305024.0	1105	96.0992987781	24.7307123252	41.6666666667
pc2	49.0	25150	14849786.0	912	95.8230905895	26.3997405754	50.0
pc3	48.0	21558	15331232.0	1051	97.5873454101	25.8408404491	41.6666666667
pc4	48.0	23187	15579723.0	1063	97.106828194	25.3579173391	41.6666666667
pc5	47.0	20738	15245642.0	1007	97.0458591099	25.4599568847	50.0
pc6	50.0	15903	15902157.0	891	97.6241057102	28.4267896487	50.0
pc7	49.0	21732	15460309.0	988	97.1626537294	26.773891906	41.6666666667
pt1	50.0	13971	12232228.0	831	94.8336014111	27.9877374751	41.6666666667
pt2	49.0	16344	13677488.0	924	96.7240740548	27.0255073154	41.6666666667
pt3	47.0	21620	17118397.0	992	97.9127902793	25.3360833961	50.0
pt4	47.0	20521	13945876.0	1011	97.1902846812	25.7146326269	41.6666666667
pt5	50.0	13696	10442258.0	827	97.5071368415	27.9301633804	41.6666666667
pt6	49.0	17727	17315258.0	956	97.2490189832	27.7787375735	41.6666666667
pt7	47.0	23898	15464601.0	1046	97.0534859731	25.5470066121	41.6666666667
