Sample	iso_additions	iso_3-trimming	iso_mutations	iso_5-trimming
cc1	16551	21584	18596	5662
cc2	13415	18192	14621	4175
cc3	11879	15740	12380	4260
cc4	16454	21038	16867	5411
cc5	15425	20137	16796	4696
cc6	12450	16586	13604	4074
cc7	20814	27259	25775	6281
ct1	7564	10435	7902	2568
ct2	13872	17877	13955	4729
ct3	9699	13064	9736	3689
ct4	12664	16592	12532	4429
ct5	14304	18470	14426	4785
ct6	14816	18948	14752	4711
ct7	16474	22088	21056	4955
pc1	19150	24940	22178	7602
pc2	12149	16856	14002	4710
pc3	10960	14001	8200	4854
pc4	11973	15091	9028	5239
pc5	10707	13796	7922	4514
pc6	7726	10257	5512	3536
pc7	10671	14022	9150	4709
pt1	6772	9101	4646	3061
pt2	8061	10717	5984	3474
pt3	11374	14405	8489	4574
pt4	10292	13175	7846	4514
pt5	6548	8796	4463	2955
pt6	8551	11361	6402	4001
pt7	12008	15202	10227	5078
