Sample	mirs_5-trimming	mirs_mutations	mirs_3-trimming	mirs_additions
cc1	553	450	818	656
cc2	454	353	729	572
cc3	494	393	744	606
cc4	539	414	801	680
cc5	478	392	754	615
cc6	450	364	691	563
cc7	523	461	791	663
ct1	386	301	637	469
ct2	509	408	761	648
ct3	454	363	704	558
ct4	489	375	747	596
ct5	510	402	756	623
ct6	490	381	755	625
ct7	463	405	732	576
pc1	649	585	905	743
pc2	487	472	763	585
pc3	602	372	851	697
pc4	630	387	860	720
pc5	577	337	842	674
pc6	520	305	751	593
pc7	585	393	823	655
pt1	463	278	704	556
pt2	502	316	759	580
pt3	571	348	825	684
pt4	591	360	836	679
pt5	460	275	696	541
pt6	551	329	783	622
pt7	594	409	864	702
