Base	N-Count	sample
1	1.02258392246	cc7
2	0.113938907815	cc7
3	0.0135757942034	cc7
4	0.00207747423571	cc7
5	4.4437951566e-05	cc7
6	0.0	cc7
7	0.0	cc7
8	0.0	cc7
9	0.0	cc7
10	0.0	cc7
11	0.0	cc7
12	0.0	cc7
13	0.142590277087	cc7
14	0.0005221459309	cc7
15	0.236298807452	cc7
16	0.0	cc7
17	0.0	cc7
18	0.0	cc7
19	0.0	cc7
20	0.0	cc7
21	0.0	cc7
22	0.0	cc7
23	0.0123897139579	cc7
24	0.0177668491914	cc7
25	0.000502150459342	cc7
26	0.0	cc7
27	0.0	cc7
28	0.0583704348025	cc7
1	0.00883531175663	pc5
2	0.000688721406419	pc5
3	0.0	pc5
4	0.0	pc5
5	0.0	pc5
6	2.62370059588e-05	pc5
7	0.0	pc5
8	0.0	pc5
9	0.0	pc5
10	0.0	pc5
11	0.000190218293201	pc5
12	0.0167982430651	pc5
13	0.000642806645991	pc5
14	0.00131185029794	pc5
15	0.0	pc5
16	0.0	pc5
17	6.5592514897e-06	pc5
18	0.0	pc5
19	0.0	pc5
20	0.0	pc5
21	0.0	pc5
22	0.0	pc5
23	0.0	pc5
24	0.0	pc5
25	3.86419517895e-05	pc5
26	0.000944240623986	pc5
27	1.99922909726e-05	pc5
28	4.06817612274e-05	pc5
29	2.06548026857e-05	pc5
30	0.0	pc5
31	4.35513988165e-05	pc5
32	0.0	pc5
33	0.000466238576766	pc5
34	0.00153184288948	pc5
35	0.000493235764723	pc5
36	0.000123562504711	pc5
37	0.000467390914855	pc5
38	0.000181471406458	pc5
39	0.0	pc5
40	0.000245496971795	pc5
41	0.0	pc5
42	0.00164546755961	pc5
43	0.000367228526312	pc5
44	0.0	pc5
45	0.0	pc5
46	0.0	pc5
47	0.0	pc5
48	0.0	pc5
49	0.0	pc5
50	0.0	pc5
51	0.0	pc5
52	0.0	pc5
53	0.0	pc5
54	0.0	pc5
55	0.0	pc5
56	0.0	pc5
57	0.0	pc5
58	0.0	pc5
59	0.0	pc5
60	0.0	pc5
61	0.0	pc5
62	0.0037715923663	pc5
63	0.0	pc5
64	0.0	pc5
65	0.0	pc5
66	0.0	pc5
67	0.0199880071957	pc5
68	0.0313479623824	pc5
1	1.08100128175	ct1
2	0.111425224651	ct1
3	0.0174671043101	ct1
4	0.00209715628367	ct1
5	0.0	ct1
6	0.0	ct1
7	0.0	ct1
8	0.0	ct1
9	5.51883232546e-05	ct1
10	0.0	ct1
11	0.0	ct1
12	0.0	ct1
13	0.000441506586037	ct1
14	0.00405634175921	ct1
15	0.0282288273447	ct1
16	0.00248347454646	ct1
17	0.0	ct1
18	0.0	ct1
19	0.0	ct1
20	0.0	ct1
21	0.0	ct1
22	0.000180992281132	ct1
23	0.00404503967816	ct1
24	0.0179868516115	ct1
25	0.00262052790535	ct1
26	0.0	ct1
27	0.0	ct1
28	0.0	ct1
1	1.04551543557	cc6
2	0.101921492894	cc6
3	0.0182772587036	cc6
4	0.00166838566628	cc6
5	0.0	cc6
6	0.0	cc6
7	0.0	cc6
8	0.000149967250902	cc6
9	0.000168713157264	cc6
10	0.0522635869392	cc6
11	0.0	cc6
12	0.00020620496999	cc6
13	0.000881057599047	cc6
14	0.00448027162068	cc6
15	0.0343987381756	cc6
16	0.00590496050425	cc6
17	0.0	cc6
18	0.0	cc6
19	0.0	cc6
20	0.0	cc6
21	0.0	cc6
22	0.0010746882909	cc6
23	0.00110102829161	cc6
24	0.0280425669671	cc6
25	0.00262209111767	cc6
26	0.00122821454452	cc6
27	0.0	cc6
28	0.00203990045286	cc6
1	1.06013040594	ct3
2	0.086467917579	ct3
3	0.0168865462448	ct3
4	0.00165015109884	ct3
5	0.0	ct3
6	0.0	ct3
7	0.0	ct3
8	0.0	ct3
9	9.16750610464e-05	ct3
10	0.0	ct3
11	0.0	ct3
12	5.50050366279e-05	ct3
13	0.000421705280814	ct3
14	0.00322696214883	ct3
15	0.0258156971907	ct3
16	7.33400488371e-05	ct3
17	0.0	ct3
18	0.0	ct3
19	0.0	ct3
20	6.30231313799e-05	ct3
21	9.31671231856e-05	ct3
22	0.000481231272673	ct3
23	0.00995290519448	ct3
24	0.0303919736808	ct3
25	0.00383341201916	ct3
26	0.00191085062881	ct3
27	0.000826764004349	ct3
28	0.000804945585678	ct3
1	0.032386157353	pc7
2	0.0	pc7
3	0.0	pc7
4	0.000116427168435	pc7
5	0.0028912746828	pc7
6	0.00031047244916	pc7
7	0.000323408801208	pc7
8	0.000135831696507	pc7
9	1.29363520483e-05	pc7
10	0.0	pc7
11	0.0	pc7
12	0.0172700299845	pc7
13	0.000291067921087	pc7
14	3.23408801208e-05	pc7
15	0.0	pc7
16	0.0	pc7
17	0.0	pc7
18	0.0	pc7
19	0.716204029714	pc7
20	0.0	pc7
21	0.0	pc7
22	0.0	pc7
23	0.0	pc7
24	0.0	pc7
25	0.0	pc7
26	0.0	pc7
27	0.0	pc7
28	2.86823802131e-05	pc7
29	0.0	pc7
30	0.000192606717085	pc7
31	0.000367627967849	pc7
32	0.0	pc7
33	2.30060961554e-05	pc7
34	0.0	pc7
35	0.000335707625515	pc7
36	0.0003425736876	pc7
37	0.000576306595109	pc7
38	0.00108578418953	pc7
39	0.00144835527189	pc7
40	0.00119562520737	pc7
41	0.00185685849253	pc7
42	0.0052187114527	pc7
43	0.00116739920967	pc7
44	0.00205279796362	pc7
45	0.0	pc7
46	0.000981633634695	pc7
47	0.0	pc7
48	0.0	pc7
49	0.0	pc7
50	0.0	pc7
51	0.0	pc7
52	0.00207692946748	pc7
53	0.0	pc7
54	0.0	pc7
55	0.00257652272493	pc7
56	1.06024358417	pc7
57	0.0	pc7
58	0.0	pc7
59	0.0	pc7
60	0.0	pc7
61	0.0	pc7
62	0.0	pc7
63	0.0	pc7
64	0.0	pc7
65	0.0	pc7
66	0.0	pc7
67	0.0202470135655	pc7
68	0.0332557366146	pc7
1	0.0297048841664	pt3
2	0.0	pt3
3	0.0	pt3
4	0.0	pt3
5	0.000730208558664	pt3
6	0.000233666738772	pt3
7	0.000297925091935	pt3
8	0.0	pt3
9	0.0	pt3
10	1.16833369386e-05	pt3
11	2.92083423465e-05	pt3
12	0.0155388381284	pt3
13	0.000315450097343	pt3
14	0.000146041711733	pt3
15	0.0	pt3
16	0.0	pt3
17	9.93083639782e-05	pt3
18	0.000193828045156	pt3
19	0.0	pt3
20	0.0	pt3
21	0.0	pt3
22	2.12092511077e-05	pt3
23	0.0	pt3
24	1.48072861324e-05	pt3
25	0.0	pt3
26	0.0	pt3
27	0.0	pt3
28	0.0	pt3
29	0.0	pt3
30	0.0	pt3
31	0.0	pt3
32	2.05709931717e-05	pt3
33	0.0	pt3
34	0.0	pt3
35	0.0	pt3
36	0.00029264795183	pt3
37	0.0	pt3
38	0.0	pt3
39	0.0	pt3
40	0.0	pt3
41	0.0	pt3
42	0.00129622668412	pt3
43	0.0	pt3
44	0.0	pt3
45	0.0	pt3
46	0.0	pt3
47	0.0	pt3
48	0.0	pt3
49	0.0	pt3
50	0.0	pt3
51	0.0	pt3
52	0.0	pt3
53	0.0	pt3
54	0.0	pt3
55	0.0	pt3
56	0.0	pt3
57	1.60052450924	pt3
58	0.0	pt3
59	0.0	pt3
60	0.0	pt3
61	0.00571951498513	pt3
62	0.0	pt3
63	0.0	pt3
64	0.0	pt3
