Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	35.4962204967	39.0	36.0	40.0	28.0	40.0	cc7
2	35.2353942729	39.0	36.0	40.0	25.0	40.0	cc7
3	35.391310714	39.0	36.0	40.0	25.0	40.0	cc7
4	35.1831040242	39.0	36.0	40.0	25.0	40.0	cc7
5	35.3043255347	39.0	36.0	40.0	25.0	40.0	cc7
6	35.1574577714	39.0	36.0	40.0	23.0	40.0	cc7
7	35.3074774075	39.0	36.0	40.0	25.0	40.0	cc7
8	35.2358308758	39.0	36.0	40.0	25.0	40.0	cc7
9	35.2039747526	39.0	36.0	40.0	25.0	40.0	cc7
10	35.17993171	39.0	36.0	40.0	25.0	40.0	cc7
11	35.3357662741	39.0	36.0	40.0	26.0	40.0	cc7
12	35.2654917643	39.0	36.0	40.0	26.0	40.0	cc7
13	35.118469357	39.0	36.0	40.0	25.0	40.0	cc7
14	35.1937622447	39.0	36.0	40.0	26.0	40.0	cc7
15	34.6862916141	39.0	35.0	40.0	22.0	40.0	cc7
16	35.2849225919	39.0	36.0	40.0	26.0	40.0	cc7
17	35.1516052932	39.0	36.0	40.0	26.0	40.0	cc7
18	35.0950488708	39.0	36.0	40.0	26.0	40.0	cc7
19	35.0052359621	39.0	35.0	40.0	25.0	40.0	cc7
20	34.8039996982	39.0	35.0	40.0	25.0	40.0	cc7
21	34.8550673658	39.0	35.0	40.0	25.0	40.0	cc7
22	35.0448732412	39.0	36.0	40.0	25.0	40.0	cc7
23	34.7511598257	39.0	35.0	40.0	24.0	40.0	cc7
24	34.6786356007	39.0	35.0	40.0	25.0	40.0	cc7
25	34.7595276773	39.0	35.0	40.0	25.0	40.0	cc7
26	34.4826902871	38.0	35.0	40.0	25.0	40.0	cc7
27	35.0904108814	38.0	35.0	40.0	27.0	40.0	cc7
28	34.6666704817	38.0	35.0	40.0	25.0	40.0	cc7
1	38.6639319617	40.0	38.0	40.0	36.0	40.0	pc5
2	38.495546465	40.0	38.0	40.0	35.0	40.0	pc5
3	38.540240024	40.0	38.0	40.0	35.0	40.0	pc5
4	38.4376909152	40.0	38.0	40.0	35.0	40.0	pc5
5	38.5267505954	40.0	38.0	40.0	35.0	40.0	pc5
6	38.433390014	40.0	38.0	40.0	35.0	40.0	pc5
7	38.4136002931	40.0	38.0	40.0	35.0	40.0	pc5
8	38.3668561153	40.0	38.0	40.0	35.0	40.0	pc5
9	38.3257531562	40.0	38.0	40.0	35.0	40.0	pc5
10	38.4190226295	40.0	38.0	40.0	35.0	40.0	pc5
11	38.3793530636	40.0	38.0	40.0	35.0	40.0	pc5
12	38.3651961	40.0	38.0	40.0	35.0	40.0	pc5
13	38.3368082499	40.0	38.0	40.0	35.0	40.0	pc5
14	38.320214721	40.0	38.0	40.0	35.0	40.0	pc5
15	38.2718082321	40.0	38.0	40.0	35.0	40.0	pc5
16	38.421666467	40.0	38.0	40.0	35.0	40.0	pc5
17	38.3430405227	40.0	38.0	40.0	35.0	40.0	pc5
18	38.1884149338	39.0	38.0	40.0	35.0	40.0	pc5
19	38.2210850106	39.0	38.0	40.0	35.0	40.0	pc5
20	38.0772690236	39.0	38.0	40.0	35.0	40.0	pc5
21	38.0384698479	39.0	38.0	40.0	35.0	40.0	pc5
22	38.1167928945	39.0	38.0	40.0	35.0	40.0	pc5
23	37.8985424985	39.0	38.0	40.0	34.0	40.0	pc5
24	37.5144413522	39.0	37.0	40.0	33.0	40.0	pc5
25	37.8040391273	39.0	38.0	40.0	33.0	40.0	pc5
26	37.6932652037	39.0	38.0	40.0	33.0	40.0	pc5
27	37.4741195795	39.0	37.0	40.0	33.0	40.0	pc5
28	37.4651056261	39.0	37.0	40.0	33.0	40.0	pc5
29	37.4057819815	39.0	37.0	40.0	33.0	40.0	pc5
30	36.9043695872	39.0	36.0	40.0	32.0	40.0	pc5
31	37.1065358673	39.0	36.0	40.0	33.0	40.0	pc5
32	37.1152380527	39.0	37.0	40.0	33.0	40.0	pc5
33	37.1886506962	39.0	37.0	40.0	33.0	40.0	pc5
34	35.859412173	38.0	35.0	40.0	29.0	40.0	pc5
35	35.4664885757	38.0	35.0	40.0	29.0	40.0	pc5
36	35.4208118798	38.0	35.0	39.0	29.0	40.0	pc5
37	34.986726098	38.0	34.0	40.0	27.0	40.0	pc5
38	34.9243264235	38.0	35.0	40.0	27.0	40.0	pc5
39	34.516958607	38.0	33.0	40.0	26.0	40.0	pc5
40	33.9493564297	38.0	33.0	40.0	23.0	40.0	pc5
41	33.5049160658	38.0	33.0	39.0	22.0	40.0	pc5
42	33.1714050647	38.0	33.0	40.0	19.0	40.0	pc5
43	32.9770812677	38.0	32.0	40.0	18.0	40.0	pc5
44	32.5165690063	37.0	31.0	39.0	15.0	40.0	pc5
45	32.2602150721	37.0	31.0	39.0	13.0	40.0	pc5
46	32.6042957225	38.0	33.0	39.0	7.0	40.0	pc5
47	32.3622010871	38.0	32.0	39.0	2.0	40.0	pc5
48	31.9448484001	37.0	32.0	39.0	2.0	40.0	pc5
49	32.0510263384	37.0	32.0	39.0	2.0	40.0	pc5
50	32.2393147976	37.0	32.0	39.0	2.0	40.0	pc5
51	32.2276835135	37.0	32.0	39.0	2.0	40.0	pc5
52	32.009772295	37.0	32.0	39.0	2.0	40.0	pc5
53	31.5742524518	36.0	31.0	39.0	2.0	40.0	pc5
54	31.6473147006	36.0	31.0	39.0	2.0	40.0	pc5
55	31.4410117714	36.0	31.0	39.0	2.0	40.0	pc5
56	31.486261799	37.0	31.0	39.0	2.0	40.0	pc5
57	31.4150176656	36.0	31.0	39.0	2.0	40.0	pc5
58	31.5897352492	36.0	31.0	39.0	2.0	40.0	pc5
59	31.6447056415	36.0	31.0	39.0	2.0	40.0	pc5
60	32.6560239516	37.0	32.0	39.0	18.0	40.0	pc5
61	34.0817245817	38.0	34.0	39.0	26.0	40.0	pc5
62	34.3434412009	38.0	34.0	39.0	27.0	40.0	pc5
63	34.6222963521	38.0	35.0	39.0	28.0	40.0	pc5
64	34.8032142247	38.0	35.0	39.0	29.0	40.0	pc5
65	34.7296278851	38.0	34.0	39.0	29.0	40.0	pc5
66	34.7522489308	38.0	34.0	39.0	29.0	40.0	pc5
67	35.177893264	38.0	35.0	39.0	30.0	40.0	pc5
68	34.2884012539	36.0	33.0	39.0	27.0	40.0	pc5
1	36.6187336763	39.0	38.0	40.0	31.0	40.0	ct1
2	36.6676330142	39.0	38.0	40.0	31.0	40.0	ct1
3	36.5476122082	39.0	38.0	40.0	30.0	40.0	ct1
4	36.587664306	39.0	38.0	40.0	31.0	40.0	ct1
5	36.5871027648	39.0	38.0	40.0	31.0	40.0	ct1
6	36.3551821146	39.0	38.0	40.0	30.0	40.0	ct1
7	36.6885413864	40.0	38.0	40.0	31.0	40.0	ct1
8	36.6300152734	39.0	38.0	40.0	31.0	40.0	ct1
9	36.6271888034	40.0	38.0	40.0	31.0	40.0	ct1
10	36.6109198376	40.0	38.0	40.0	31.0	40.0	ct1
11	36.9749571946	40.0	38.0	40.0	33.0	40.0	ct1
12	36.8252359646	40.0	38.0	40.0	32.0	40.0	ct1
13	36.9290664481	40.0	38.0	40.0	33.0	40.0	ct1
14	36.8577440945	40.0	38.0	40.0	32.0	40.0	ct1
15	36.7825527635	39.0	38.0	40.0	32.0	40.0	ct1
16	36.8371991374	40.0	38.0	40.0	33.0	40.0	ct1
17	36.6258132344	39.0	38.0	40.0	31.0	40.0	ct1
18	36.7782319945	39.0	38.0	40.0	32.0	40.0	ct1
19	36.5534071459	39.0	38.0	40.0	31.0	40.0	ct1
