Quality	Count	sample
2	408800.0	cc7
3	8601.0	cc7
4	3924.0	cc7
5	4812.0	cc7
6	6051.0	cc7
7	10034.0	cc7
8	9806.0	cc7
9	6371.0	cc7
10	6322.0	cc7
11	7859.0	cc7
12	9763.0	cc7
13	11506.0	cc7
14	13501.0	cc7
15	15081.0	cc7
16	15886.0	cc7
17	18004.0	cc7
18	22439.0	cc7
19	30015.0	cc7
20	38797.0	cc7
21	46887.0	cc7
22	53100.0	cc7
23	59399.0	cc7
24	63782.0	cc7
25	67683.0	cc7
26	68322.0	cc7
27	72516.0	cc7
28	80420.0	cc7
29	88494.0	cc7
30	100439.0	cc7
31	115426.0	cc7
32	136585.0	cc7
33	168094.0	cc7
34	216208.0	cc7
35	314187.0	cc7
36	510702.0	cc7
37	849625.0	cc7
38	1418042.0	cc7
39	3389740.0	cc7
40	534092.0	cc7
2	3453.0	pc5
3	510.0	pc5
4	351.0	pc5
5	538.0	pc5
6	469.0	pc5
7	793.0	pc5
8	492.0	pc5
9	806.0	pc5
10	864.0	pc5
11	927.0	pc5
12	1224.0	pc5
13	1459.0	pc5
14	1652.0	pc5
15	2048.0	pc5
16	2350.0	pc5
17	3140.0	pc5
18	3684.0	pc5
19	4506.0	pc5
20	6116.0	pc5
21	7373.0	pc5
22	9293.0	pc5
23	12571.0	pc5
24	17246.0	pc5
25	25707.0	pc5
26	36877.0	pc5
27	52582.0	pc5
28	72881.0	pc5
29	98256.0	pc5
30	128424.0	pc5
31	164180.0	pc5
32	207308.0	pc5
33	264002.0	pc5
34	353690.0	pc5
35	518625.0	pc5
36	799568.0	pc5
37	1353106.0	pc5
38	2474585.0	pc5
39	7506479.0	pc5
40	1107507.0	pc5
2	98164.0	ct1
3	2103.0	ct1
4	1044.0	ct1
5	1089.0	ct1
6	1562.0	ct1
7	2507.0	ct1
8	2366.0	ct1
9	1658.0	ct1
10	1718.0	ct1
11	1945.0	ct1
12	2273.0	ct1
13	2400.0	ct1
14	3017.0	ct1
15	3341.0	ct1
16	4088.0	ct1
17	4740.0	ct1
18	6128.0	ct1
19	8270.0	ct1
20	10855.0	ct1
21	13576.0	ct1
22	15575.0	ct1
23	17770.0	ct1
24	19182.0	ct1
25	19281.0	ct1
26	19298.0	ct1
27	20062.0	ct1
28	22707.0	ct1
29	25304.0	ct1
30	28526.0	ct1
31	32719.0	ct1
32	38377.0	ct1
33	47554.0	ct1
34	61329.0	ct1
35	90153.0	ct1
36	151378.0	ct1
37	287644.0	ct1
38	588166.0	ct1
39	1638637.0	ct1
40	327449.0	ct1
2	177000.0	cc6
3	3777.0	cc6
4	1611.0	cc6
5	2002.0	cc6
6	2700.0	cc6
7	4394.0	cc6
8	4171.0	cc6
9	2846.0	cc6
10	2780.0	cc6
11	3337.0	cc6
12	4229.0	cc6
13	4936.0	cc6
14	5824.0	cc6
15	6736.0	cc6
16	7188.0	cc6
17	8103.0	cc6
18	10095.0	cc6
19	13295.0	cc6
20	17591.0	cc6
21	21313.0	cc6
22	24336.0	cc6
23	27119.0	cc6
24	29563.0	cc6
25	30876.0	cc6
26	30163.0	cc6
27	31756.0	cc6
28	35524.0	cc6
29	39377.0	cc6
30	44601.0	cc6
31	51676.0	cc6
32	61574.0	cc6
33	75901.0	cc6
34	97907.0	cc6
35	146751.0	cc6
36	245845.0	cc6
37	444040.0	cc6
38	859920.0	cc6
39	2314989.0	cc6
40	438652.0	cc6
2	135377.0	ct3
3	3523.0	ct3
4	1398.0	ct3
5	1720.0	ct3
6	2353.0	ct3
7	3733.0	ct3
8	3495.0	ct3
9	2585.0	ct3
10	2604.0	ct3
11	3046.0	ct3
12	3595.0	ct3
13	4049.0	ct3
14	4636.0	ct3
15	5277.0	ct3
16	5669.0	ct3
17	6481.0	ct3
18	8197.0	ct3
19	11073.0	ct3
20	14581.0	ct3
21	17732.0	ct3
22	20593.0	ct3
23	23341.0	ct3
24	26371.0	ct3
25	27986.0	ct3
26	27016.0	ct3
27	27024.0	ct3
28	29912.0	ct3
29	33767.0	ct3
30	38246.0	ct3
31	44875.0	ct3
32	53345.0	ct3
33	65941.0	ct3
34	86689.0	ct3
35	128974.0	ct3
36	214961.0	ct3
37	395695.0	ct3
38	863864.0	ct3
39	2448175.0	ct3
40	656147.0	ct3
2	1706.0	pc7
3	366.0	pc7
4	197.0	pc7
5	214.0	pc7
6	230.0	pc7
7	396.0	pc7
8	399.0	pc7
9	524.0	pc7
10	724.0	pc7
11	941.0	pc7
12	1122.0	pc7
13	1280.0	pc7
14	1508.0	pc7
15	1721.0	pc7
16	2065.0	pc7
17	2593.0	pc7
18	3152.0	pc7
19	3781.0	pc7
20	4764.0	pc7
21	6374.0	pc7
22	8836.0	pc7
23	12371.0	pc7
24	17690.0	pc7
25	26350.0	pc7
26	38409.0	pc7
27	54400.0	pc7
28	75072.0	pc7
29	101556.0	pc7
30	132237.0	pc7
31	167053.0	pc7
32	209813.0	pc7
33	268134.0	pc7
34	362701.0	pc7
35	530399.0	pc7
36	825865.0	pc7
37	1470440.0	pc7
38	2546162.0	pc7
39	7616404.0	pc7
40	962360.0	pc7
2	1177.0	pt3
3	260.0	pt3
4	123.0	pt3
5	107.0	pt3
6	132.0	pt3
7	208.0	pt3
8	213.0	pt3
9	285.0	pt3
10	363.0	pt3
11	491.0	pt3
12	675.0	pt3
13	804.0	pt3
14	951.0	pt3
15	1104.0	pt3
16	1292.0	pt3
17	1652.0	pt3
18	2113.0	pt3
19	2666.0	pt3
20	3587.0	pt3
21	5030.0	pt3
22	7442.0	pt3
23	11171.0	pt3
24	16798.0	pt3
25	25688.0	pt3
26	37954.0	pt3
27	54656.0	pt3
28	74867.0	pt3
29	101455.0	pt3
30	132494.0	pt3
31	167710.0	pt3
32	208730.0	pt3
33	264898.0	pt3
34	351363.0	pt3
35	512805.0	pt3
36	806650.0	pt3
37	1434884.0	pt3
38	2504294.0	pt3
39	8935398.0	pt3
40	1445907.0	pt3
2	258155.0	cc1
3	5990.0	cc1
4	2573.0	cc1
5	3030.0	cc1
6	4329.0	cc1
7	7503.0	cc1
8	6220.0	cc1
9	4153.0	cc1
10	4544.0	cc1
11	5944.0	cc1
12	7396.0	cc1
13	8972.0	cc1
14	10551.0	cc1
15	12071.0	cc1
16	12482.0	cc1
17	14068.0	cc1
18	17332.0	cc1
19	22764.0	cc1
20	29064.0	cc1
21	34183.0	cc1
22	38962.0	cc1
23	44152.0	cc1
24	48657.0	cc1
25	50795.0	cc1
26	48381.0	cc1
27	48746.0	cc1
28	53393.0	cc1
29	60102.0	cc1
30	67419.0	cc1
31	77666.0	cc1
32	91814.0	cc1
33	112668.0	cc1
34	145845.0	cc1
35	214960.0	cc1
36	357211.0	cc1
37	642341.0	cc1
38	1325177.0	cc1
39	3802487.0	cc1
40	976002.0	cc1
2	631.0	pt2
3	162.0	pt2
4	57.0	pt2
5	60.0	pt2
6	66.0	pt2
7	114.0	pt2
8	133.0	pt2
9	135.0	pt2
10	209.0	pt2
11	252.0	pt2
12	402.0	pt2
13	450.0	pt2
14	518.0	pt2
15	649.0	pt2
16	939.0	pt2
17	1334.0	pt2
18	1785.0	pt2
19	2027.0	pt2
20	2365.0	pt2
21	3131.0	pt2
22	4237.0	pt2
23	5933.0	pt2
24	9189.0	pt2
25	14195.0	pt2
26	21663.0	pt2
27	31538.0	pt2
28	44927.0	pt2
29	61448.0	pt2
30	80696.0	pt2
31	103173.0	pt2
32	130188.0	pt2
33	165411.0	pt2
34	221882.0	pt2
35	324470.0	pt2
36	521413.0	pt2
37	1029613.0	pt2
38	1939065.0	pt2
39	7643215.0	pt2
40	1309813.0	pt2
2	233836.0	ct5
3	5192.0	ct5
4	2303.0	ct5
5	2944.0	ct5
6	3837.0	ct5
7	6111.0	ct5
8	5673.0	ct5
9	4024.0	ct5
10	4059.0	ct5
11	5032.0	ct5
12	6276.0	ct5
13	7486.0	ct5
14	8588.0	ct5
15	9454.0	ct5
16	9986.0	ct5
17	11249.0	ct5
18	13579.0	ct5
19	17685.0	ct5
20	22756.0	ct5
21	27971.0	ct5
22	31696.0	ct5
23	35499.0	ct5
24	39989.0	ct5
25	42161.0	ct5
26	40482.0	ct5
27	41124.0	ct5
28	45192.0	ct5
29	50974.0	ct5
30	57086.0	ct5
31	65976.0	ct5
32	78188.0	ct5
33	96367.0	ct5
34	125427.0	ct5
35	186678.0	ct5
36	309132.0	ct5
37	552761.0	ct5
38	1134529.0	ct5
39	3242531.0	ct5
40	757544.0	ct5
2	669.0	pt5
3	152.0	pt5
4	98.0	pt5
5	98.0	pt5
6	88.0	pt5
7	146.0	pt5
8	128.0	pt5
9	209.0	pt5
10	310.0	pt5
11	377.0	pt5
12	542.0	pt5
13	595.0	pt5
14	664.0	pt5
15	717.0	pt5
16	1014.0	pt5
17	1426.0	pt5
18	1716.0	pt5
19	1974.0	pt5
20	2379.0	pt5
21	3114.0	pt5
22	4130.0	pt5
23	5670.0	pt5
24	8273.0	pt5
25	12371.0	pt5
26	18416.0	pt5
27	26932.0	pt5
28	38067.0	pt5
29	52503.0	pt5
30	69103.0	pt5
31	89894.0	pt5
32	114289.0	pt5
33	146583.0	pt5
34	197699.0	pt5
35	292792.0	pt5
36	460319.0	pt5
37	863006.0	pt5
38	1852072.0	pt5
39	5377609.0	pt5
40	796114.0	pt5
2	1894.0	pt7
3	499.0	pt7
4	204.0	pt7
5	222.0	pt7
6	248.0	pt7
7	369.0	pt7
8	372.0	pt7
9	521.0	pt7
10	724.0	pt7
11	850.0	pt7
12	1047.0	pt7
13	1159.0	pt7
14	1427.0	pt7
15	1598.0	pt7
16	1992.0	pt7
17	2388.0	pt7
18	3009.0	pt7
19	3809.0	pt7
20	5153.0	pt7
21	7118.0	pt7
22	9848.0	pt7
23	14002.0	pt7
24	20430.0	pt7
25	30229.0	pt7
26	42814.0	pt7
27	59670.0	pt7
28	81050.0	pt7
29	107009.0	pt7
30	137730.0	pt7
31	171678.0	pt7
32	213215.0	pt7
33	268760.0	pt7
34	358418.0	pt7
35	516332.0	pt7
36	792415.0	pt7
37	1351359.0	pt7
38	2247602.0	pt7
39	7946921.0	pt7
40	1060516.0	pt7
2	178055.0	ct4
3	4048.0	ct4
4	1852.0	ct4
5	2303.0	ct4
6	2984.0	ct4
7	5038.0	ct4
8	4586.0	ct4
9	3355.0	ct4
10	3327.0	ct4
11	4083.0	ct4
12	4732.0	ct4
13	5606.0	ct4
14	6501.0	ct4
15	7444.0	ct4
16	7689.0	ct4
17	8423.0	ct4
18	10222.0	ct4
19	13511.0	ct4
20	17605.0	ct4
21	21573.0	ct4
22	24624.0	ct4
23	28421.0	ct4
24	31774.0	ct4
25	34035.0	ct4
26	31506.0	ct4
27	31266.0	ct4
28	34002.0	ct4
29	38457.0	ct4
30	43602.0	ct4
31	50262.0	ct4
32	60225.0	ct4
33	73857.0	ct4
34	95720.0	ct4
35	143444.0	ct4
36	239211.0	ct4
37	439862.0	ct4
38	1019334.0	ct4
39	2988277.0	ct4
40	793493.0	ct4
2	295422.0	ct7
3	6301.0	ct7
4	2709.0	ct7
5	3416.0	ct7
6	4144.0	ct7
7	6870.0	ct7
8	6685.0	ct7
9	4448.0	ct7
10	4366.0	ct7
11	5319.0	ct7
12	6736.0	ct7
13	8074.0	ct7
14	9532.0	ct7
15	10816.0	ct7
16	11615.0	ct7
17	13415.0	ct7
18	17003.0	ct7
19	22553.0	ct7
20	29354.0	ct7
21	35209.0	ct7
22	40126.0	ct7
23	44588.0	ct7
24	49131.0	ct7
25	51324.0	ct7
26	51447.0	ct7
27	54687.0	ct7
28	60309.0	ct7
29	67827.0	ct7
30	75941.0	ct7
31	87099.0	ct7
32	103391.0	ct7
33	127261.0	ct7
34	164170.0	ct7
35	237700.0	ct7
36	382090.0	ct7
37	635839.0	ct7
38	1064995.0	ct7
39	2517637.0	ct7
40	394382.0	ct7
2	2720.0	pc6
3	356.0	pc6
4	253.0	pc6
5	477.0	pc6
6	544.0	pc6
7	1153.0	pc6
8	462.0	pc6
9	666.0	pc6
10	819.0	pc6
11	1030.0	pc6
12	1334.0	pc6
