Tile	Base	Mean	sample
1	1	-0.915878630866	cc7
1	2	-0.856974298743	cc7
1	3	-0.962850878584	cc7
1	4	-0.929374733887	cc7
1	5	-0.923591678077	cc7
1	6	-0.876532029221	cc7
1	7	-0.903393893639	cc7
1	8	-1.00004977186	cc7
1	9	-1.02251548979	cc7
1	10	-0.927377172586	cc7
1	11	-0.962582356752	cc7
1	12	-1.01122469061	cc7
1	13	-0.903439825979	cc7
1	14	-0.982589491622	cc7
1	15	-0.836543366361	cc7
1	16	-1.04084637607	cc7
1	17	-0.930822625617	cc7
1	18	-0.927786442616	cc7
1	19	-0.914268369858	cc7
1	20	-1.04216553569	cc7
1	21	-1.20854069913	cc7
1	22	-1.1374715434	cc7
1	23	-1.22930988885	cc7
1	24	-1.38318805294	cc7
1	25	-1.46008738939	cc7
1	26	-1.10699491271	cc7
1	27	-0.709527963619	cc7
1	28	1.28370459623	cc7
2	1	-0.969527578933	cc7
2	2	-0.839729966077	cc7
2	3	-1.04017460495	cc7
2	4	-1.02676678473	cc7
2	5	-1.00877751594	cc7
2	6	-0.932581780315	cc7
2	7	-1.02266589707	cc7
2	8	-1.04557990344	cc7
2	9	-1.08200234335	cc7
2	10	-0.986708988851	cc7
2	11	-1.01040313951	cc7
2	12	-1.02334222282	cc7
2	13	-0.863474471672	cc7
2	14	-0.99671741346	cc7
2	15	-0.46497939646	cc7
2	16	-1.0000385071	cc7
2	17	-0.977698135881	cc7
2	18	-1.00258091815	cc7
2	19	-1.03099708476	cc7
2	20	-1.06504061365	cc7
2	21	-1.23966026405	cc7
2	22	-1.26775642581	cc7
2	23	-1.31594982688	cc7
2	24	-1.3397945441	cc7
2	25	-1.96817372678	cc7
2	26	-1.87419457608	cc7
2	27	-2.12828172038	cc7
2	28	-1.36629540377	cc7
3	1	-1.14097838257	cc7
3	2	-0.995778587394	cc7
3	3	-1.10883333966	cc7
3	4	-1.06849061446	cc7
3	5	-1.07557159279	cc7
3	6	-1.08546386799	cc7
3	7	-1.09884322423	cc7
3	8	-1.19731932119	cc7
3	9	-1.23595155835	cc7
3	10	-1.10732353754	cc7
3	11	-1.13288614482	cc7
3	12	-1.15300555078	cc7
3	13	-1.03716427962	cc7
3	14	-1.14081638341	cc7
3	15	-0.606839157374	cc7
3	16	-1.11005832605	cc7
3	17	-1.05711253495	cc7
3	18	-1.06290468838	cc7
3	19	-1.1308643785	cc7
3	20	-1.18611079492	cc7
3	21	-1.37264923534	cc7
3	22	-1.35079068356	cc7
3	23	-0.965140763693	cc7
3	24	-0.124386363014	cc7
3	25	0.102643127804	cc7
3	26	0.934365329971	cc7
3	27	0.879916461761	cc7
3	28	0.151446531709	cc7
4	1	-0.911165019064	cc7
4	2	-0.781485711407	cc7
4	3	-0.869352518737	cc7
4	4	-0.889698819882	cc7
4	5	-0.906369122755	cc7
4	6	-0.827563879767	cc7
4	7	-0.89600110972	cc7
4	8	-0.992855351974	cc7
4	9	-0.966381747848	cc7
4	10	-0.898329566056	cc7
4	11	-0.887898199197	cc7
4	12	-0.882295416958	cc7
4	13	-0.794036019392	cc7
4	14	-0.905302089706	cc7
4	15	-0.292611429194	cc7
4	16	-0.867944846356	cc7
4	17	-0.778339472381	cc7
4	18	-0.824866249814	cc7
4	19	-0.86611940089	cc7
4	20	-0.995696272838	cc7
4	21	-1.20856378182	cc7
4	22	-1.28321479982	cc7
4	23	-1.41419637553	cc7
4	24	-1.79494676152	cc7
4	25	-1.14954251844	cc7
4	26	-0.576465598553	cc7
4	27	0.190038425693	cc7
4	28	-0.216295403775	cc7
5	1	-0.725224075086	cc7
5	2	-0.596132527329	cc7
5	3	-0.592126950865	cc7
5	4	-0.59152503469	cc7
5	5	-0.64535497948	cc7
5	6	-0.498395309549	cc7
5	7	-0.479666510203	cc7
5	8	-0.64426956094	cc7
5	9	-0.584138849006	cc7
5	10	-0.482820539634	cc7
5	11	-0.4197864276	cc7
5	12	-0.434235445187	cc7
5	13	-0.2852996897	cc7
5	14	-0.363141307167	cc7
5	15	0.233009474685	cc7
5	16	-0.462376365009	cc7
5	17	-0.324208537524	cc7
5	18	-0.259104421885	cc7
5	19	-0.273498197033	cc7
5	20	-0.286924421548	cc7
5	21	-0.304483627779	cc7
5	22	-0.454298546031	cc7
5	23	-0.468733888222	cc7
5	24	-0.428111458305	cc7
5	25	-0.659672270316	cc7
5	26	-0.419253189927	cc7
5	27	-0.674423002537	cc7
5	28	-0.377271013531	cc7
6	1	-1.00718132964	cc7
6	2	-0.804566285818	cc7
6	3	-1.02312198249	cc7
6	4	-0.955335975755	cc7
6	5	-0.937165690163	cc7
6	6	-0.899398630088	cc7
6	7	-0.939695129912	cc7
6	8	-0.9415739697	cc7
6	9	-0.980363501579	cc7
6	10	-0.839523196631	cc7
6	11	-0.875747407831	cc7
6	12	-0.863818146327	cc7
6	13	-0.98495523775	cc7
6	14	-0.835069936233	cc7
6	15	-0.353499905018	cc7
6	16	-0.850509825885	cc7
6	17	-0.859899706506	cc7
6	18	-0.84695324217	cc7
6	19	-0.88417175707	cc7
6	20	-0.942876578969	cc7
6	21	-1.09426886822	cc7
6	22	-1.05130709721	cc7
6	23	-1.0590429083	cc7
6	24	-0.919136863983	cc7
6	25	-1.25478096597	cc7
