Length	Count	sample
17	355247.0	cc7
18	255824.0	cc7
19	291833.0	cc7
20	857716.0	cc7
21	1310457.0	cc7
22	3371664.0	cc7
23	1714305.0	cc7
24	445982.0	cc7
25	106110.0	cc7
26	115362.0	cc7
27	89442.0	cc7
28	87373.0	cc7
16	75077.0	pc5
18	324124.0	pc5
20	2419572.0	pc5
22	6713242.0	pc5
24	630177.0	pc5
26	167242.0	pc5
28	156216.0	pc5
30	506102.0	pc5
32	2556588.0	pc5
34	887995.0	pc5
36	258256.0	pc5
38	143714.0	pc5
40	103472.0	pc5
42	53337.0	pc5
44	35989.0	pc5
46	42903.0	pc5
48	64923.0	pc5
50	11546.0	pc5
52	7579.0	pc5
54	6755.0	pc5
56	10125.0	pc5
58	24949.0	pc5
60	19245.0	pc5
62	14816.0	pc5
64	4917.0	pc5
66	3591.0	pc5
68	3190.0	pc5
17	98717.0	ct1
18	334092.0	ct1
19	107790.0	ct1
20	312190.0	ct1
21	561127.0	ct1
22	1394225.0	ct1
23	482237.0	ct1
24	180936.0	ct1
25	41411.0	ct1
26	31906.0	ct1
27	39077.0	ct1
28	40247.0	ct1
17	216126.0	cc6
18	167551.0	cc6
19	179207.0	cc6
20	470677.0	cc6
21	765028.0	cc6
22	2082722.0	cc6
23	968210.0	cc6
24	256152.0	cc6
25	65987.0	cc6
26	67324.0	cc6
27	46492.0	cc6
28	49022.0	cc6
17	248912.0	ct3
18	201931.0	ct3
19	243046.0	ct3
20	466797.0	ct3
21	760755.0	ct3
22	1824561.0	ct3
23	862426.0	ct3
24	349976.0	ct3
25	129313.0	ct3
26	124422.0	ct3
27	117675.0	ct3
28	124232.0	ct3
16	123411.0	pc7
18	376278.0	pc7
20	2034025.0	pc7
22	5087282.0	pc7
24	637796.0	pc7
26	228595.0	pc7
28	223417.0	pc7
30	809474.0	pc7
32	3170718.0	pc7
34	1893589.0	pc7
36	323128.0	pc7
38	218043.0	pc7
40	123773.0	pc7
42	64638.0	pc7
44	44271.0	pc7
46	21311.0	pc7
48	25145.0	pc7
50	7267.0	pc7
52	6686.0	pc7
54	4678.0	pc7
56	2191.0	pc7
58	5914.0	pc7
60	9322.0	pc7
62	8224.0	pc7
64	4802.0	pc7
66	3324.0	pc7
68	3007.0	pc7
16	92997.0	pt3
18	332483.0	pt3
20	2548146.0	pt3
22	7391339.0	pt3
24	790845.0	pt3
26	197979.0	pt3
28	222136.0	pt3
30	681258.0	pt3
32	3581380.0	pt3
34	596419.0	pt3
36	313816.0	pt3
38	133312.0	pt3
40	81993.0	pt3
42	50090.0	pt3
44	27157.0	pt3
46	16241.0	pt3
48	21386.0	pt3
50	5496.0	pt3
52	4111.0	pt3
54	3183.0	pt3
56	1501.0	pt3
58	5479.0	pt3
60	7345.0	pt3
62	6822.0	pt3
64	2566.0	pt3
66	1684.0	pt3
68	1233.0	pt3
17	240875.0	cc1
