id	nloci	ann	ct4	ct5	ct6	ct7	ct1	ct2	ct3	cc5	cc4	cc7	cc6	cc1	cc3	cc2	pt7	pt6	pt5	pt4	pt3	pt2	pt1	pc2	pc3	pc1	pc6	pc7	pc4	pc5
1	0	tRNA repeat|tRNA::tRNA-Ile-TAT-2-3;repeat::tRNA	238	290	333	243	79	306	172	306	567	299	254	378	330	97	356	364	213	364	286	115	156	113	515	603	269	367	615	350
2	0	tRNA repeat|tRNA::tRNA-Ile-TAT-2-3;repeat::tRNA	36	43	25	29	0	51	18	16	54	34	26	56	40	11	56	57	31	53	24	0	14	3	44	103	19	34	49	19
3	0	|	34	18	17	12	3	8	5	14	61	48	22	6	30	7	3	18	6	6	0	0	0	3	24	14	25	21	47	5
4	0	gene miRNA|gene::MIR323B;miRNA::hsa-miR-323b-3p	795	1816	1110	1082	886	2586	1116	830	1126	1045	434	1713	1621	184	1272	2061	908	2232	664	950	1349	236	2639	2340	513	1011	1475	1087
5	0	gene miRNA|gene::MIR323A;miRNA::hsa-miR-323a-3p,hsa-miR-323a-5p	4798	5083	2701	2874	1588	5976	3424	2437	7360	5083	2307	7151	3749	1009	6323	4722	1953	5970	3855	1773	3879	1362	6498	10856	2586	4764	8223	2917
6	0	repeat|repeat::tRNA;repeat::tRNA;repeat::tRNA;tRNA::tRNA-Gln-CTG-1-4;repeat::tRNA;tRNA::tRNA-Gln-CTG-1-1;repeat::tRNA;tRNA::tRNA-Gln-CTG-1-5;repeat::tRNA;tRNA::tRNA-Gln-CTG-2-1;repeat::tRNA;tRNA::tRNA-Gln-CTG-2-1;repeat::tRNA;tRNA::tRNA-Gln-CTG-1-2;repeat::tRNA;tRNA::tRNA-Gln-CTG-1-2;repeat::tRNA;tRNA::tRNA-Gln-CTG-1-3;repeat::tRNA	9918	7513	7418	11348	2120	5887	7247	6024	8269	10448	8512	5560	8905	6162	12425	30732	15720	15166	16137	20662	23115	18996	27122	9834	23982	16855	18228	17778
7	0	repeat gene|repeat::tRNA;gene::TOR3A	45	73	52	36	50	167	38	173	122	68	34	112	99	79	97	33	14	44	110	132	10	44	87	48	22	28	113	61
8	0	tRNA repeat gene|tRNA::tRNA-Gln-CTG-3-1;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10,NBPF25P;tRNA::tRNA-Gln-CTG-3-2;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10,NBPF25P	215	312	164	199	47	125	129	97	323	570	371	120	126	83	422	1958	1690	512	392	476	995	375	662	461	2690	2034	1598	399
9	0	tRNA repeat|tRNA::tRNA-Gln-TTG-1-1;repeat::tRNA	345	420	402	348	183	236	412	159	352	449	316	357	384	239	509	1255	694	573	502	698	499	709	860	623	1177	952	933	588
10	0	repeat|repeat::rRNA,SINE;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::rRNA,SINE;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::rRNA,SINE;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2;repeat::SINE,rRNA;gene::MIR7641-2,DUSP5P1,RHOU	14976	9813	8642	12713	7543	7798	17767	6181	7722	12306	6051	8658	8034	8204	21036	100351	13196	22333	80806	83069	16800	19254	24362	26534	16175	21039	20409	19387
11	0	tRNA repeat|tRNA::tRNA-Ile-AAT-5-3;repeat::tRNA;tRNA::tRNA-Ile-AAT-8-1;repeat::tRNA;tRNA::tRNA-Ile-AAT-7-2;repeat::tRNA;tRNA::tRNA-Ile-AAT-5-5;repeat::tRNA;tRNA::tRNA-Ile-AAT-7-1;repeat::tRNA;tRNA::tRNA-Ile-AAT-5-1;repeat::tRNA;tRNA::tRNA-Ile-AAT-5-4;repeat::tRNA;tRNA::tRNA-Ile-AAT-5-2;repeat::tRNA;tRNA::tRNA-Ile-AAT-1-1;repeat::tRNA	551	833	676	388	299	493	355	749	703	693	364	275	188	990	451	894	426	275	398	630	827	1376	591	789	737	1363	1064	914
12	0	ncrna gene|ncrna::HBII-234;gene::SNORD70,NOP58	3	3	9	7	4	20	6	0	16	9	3	22	5	4	67	44	6	75	64	11	22	36	53	82	16	37	91	34
13	0	gene|gene::NOP58	0	3	4	0	8	4	7	0	7	0	3	3	0	0	15	12	3	9	9	11	13	7	11	13	4	3	11	6
14	0	gene miRNA|gene::MIR125A,SPACA6P-AS,SPACA6;miRNA::hsa-miR-125a-5p,hsa-miR-125a-3p	24512	20812	22257	15572	15465	30792	24168	21118	31213	20309	13672	35673	24230	23362	35629	31479	18404	57473	45451	25062	18674	24797	37562	60407	17670	34783	44279	42929
15	0	gene miRNA|gene::MIR2277,MIR548AO,FAM172A,FAM172A,FAM172A,FAM172A;miRNA::hsa-miR-2277-5p,hsa-miR-2277-3p	118	99	119	65	69	145	97	51	152	90	53	214	88	42	125	87	67	98	81	30	52	31	119	254	67	94	172	86
16	0	gene miRNA|gene::MIR656;miRNA::hsa-miR-656-3p,hsa-miR-656-5p	654	509	287	418	184	620	483	222	789	670	343	1087	669	176	1475	1047	666	1278	627	206	557	215	1219	1470	681	1332	1562	682
17	0	repeat|repeat::snRNA	214	768	498	94	1574	136	631	937	144	487	133	92	52	816	224	329	172	107	128	414	603	1293	128	119	223	768	236	1636
18	0	repeat gene|repeat::snRNA;gene::FCHO2,FCHO2	39	22	34	48	20	0	9	18	197	48	48	15	12	4	17	37	31	7	6	12	0	72	22	81	34	58	148	8
19	0	repeat gene|repeat::snRNA;gene::BTRC,BTRC,BTRC	771	1097	1121	417	9	643	424	1216	926	877	728	607	475	729	1533	1359	679	1219	1627	1820	1482	3586	1392	2406	1652	1809	1739	2734
20	0	repeat|repeat::snRNA	1819	1909	1276	1723	2597	852	2481	1480	1723	1891	824	1208	1211	1294	5772	6773	3160	5494	4573	4146	5445	6350	5582	6916	4074	6430	5914	6549
21	0	gene miRNA|gene::NR6A1,NR6A1,NR6A1,MIR181A2,MIR181A2HG;miRNA::hsa-miR-181a-5p,hsa-miR-181a-2-3p;gene::MIR181A1,MIR181A1HG;miRNA::hsa-miR-181a-5p,hsa-miR-181a-3p	854477	1091354	1626297	1032371	348245	722621	471447	1868014	1326642	1638049	872889	915837	641864	2138491	1146676	678281	373876	786822	2829931	1205478	562915	2149942	1099853	1260505	859962	1151462	1571028	2326872
22	0	gene miRNA|gene::MIR181C;miRNA::hsa-miR-181c-3p,hsa-miR-181c-5p	48604	37705	35157	38893	6531	53097	35827	31171	58074	63481	36320	68077	51616	18624	83102	64140	35514	81818	60628	26397	32759	19078	85311	86215	40135	62366	79308	46205
23	0	gene miRNA|gene::MIR191,NDUFAF3,DALRD3;miRNA::hsa-miR-191-5p,hsa-miR-191-3p	41118	43754	48465	40256	48830	46207	34401	29930	55428	56175	30578	74919	48839	43727	82434	71725	39210	79191	70104	37357	34095	39113	81138	120759	44348	66341	92234	61560
24	0	repeat miRNA gene|repeat::Low_complexity,Low_complexity;miRNA::hsa-miR-92b-3p,hsa-miR-92b-5p;gene::MIR92B	46920	65546	108400	97286	75238	123109	49758	84055	111647	80678	75498	146889	128548	54448	125487	65094	32343	146327	136384	148090	29500	52825	176467	175769	65999	64736	112437	87585
25	0	gene miRNA|gene::MIR17HG,MIR92A1,MIR17HG;miRNA::hsa-miR-92a-1-5p,hsa-miR-92a-3p;gene::MIR92A2;miRNA::hsa-miR-92a-3p	56236	90693	119326	75432	47080	82203	39947	137541	118876	83998	42975	82219	52075	107739	71456	37894	31947	74345	179668	101733	32430	147897	90204	121270	45792	78177	140217	180563
26	0	gene miRNA|gene::MIR149,PP14571,GPC1;miRNA::hsa-miR-149-5p,hsa-miR-149-3p	16574	13928	10966	9556	1450	11680	9203	7784	16536	13387	6654	12554	8881	3588	13293	11723	7589	15482	11150	7359	7615	4516	16990	20662	8869	12345	18522	8997
27	0	gene miRNA|gene::MIR190A,TLN2;miRNA::hsa-miR-190a-5p,hsa-miR-190a-3p	1068	971	688	854	486	1672	1156	1194	1114	1004	829	2388	1271	1341	3472	1569	1020	3110	3007	1698	1036	1729	2642	4053	1531	2116	2212	2707
28	0	gene|gene::LOC284930	249	394	463	789	168	245	192	475	436	992	502	383	258	250	126	55	31	60	73	36	18	48	83	88	118	82	82	110
29	0	gene miRNA|gene::MIRLET7BHG,MIRLET7BHG,MIRLET7B;miRNA::hsa-let-7b-5p,hsa-let-7b-3p	45801	48108	68250	49414	23711	49592	29690	66666	71039	61471	37979	72477	44160	72632	96581	55612	30250	74244	101560	69151	31179	77109	81919	112225	45091	71885	102922	99203
30	0	gene|gene::TMC3-AS1	28	39	53	101	16	24	10	68	36	107	46	54	35	34	7	5	0	3	0	9	0	5	0	0	6	4	6	4
31	0	gene miRNA|gene::MIRLET7B,MIRLET7BHG,MIRLET7BHG;miRNA::hsa-let-7b-3p	1557	1887	2299	2371	2444	2671	1349	2374	2560	2489	1504	3276	1934	2615	889	441	161	1220	1386	616	278	795	710	1127	450	575	882	914
32	0	gene miRNA|gene::MIRLET7D,MIRLET7DHG,MIRLET7DHG;miRNA::hsa-let-7d-5p	7175	7800	9528	7547	4038	9838	6797	7675	10669	8525	5718	14229	8638	8329	19425	12268	5388	16113	17973	8210	5273	10086	15893	21434	8040	12778	18167	13426
33	0	gene miRNA|gene::MIR99AHG,MIR99AHG,MIRLET7C,MIR99AHG,MIR99AHG;miRNA::hsa-let-7c-5p,hsa-let-7c-3p	51216	48815	51152	51244	38264	54149	40455	37741	62229	58489	47898	73657	47720	29938	132535	66171	34691	87298	72309	50849	36831	34951	89935	112414	62065	78097	102051	64504
34	0	gene miRNA|gene::MIRLET7E,SPACA6P-AS,SPACA6;miRNA::hsa-let-7e-5p,hsa-let-7e-3p	17326	16647	19138	17782	12771	25955	16753	15446	23453	20461	13488	40194	23688	12089	51945	31500	13468	46652	33410	17156	11839	17499	41571	55629	18481	29926	41786	28121
35	0	gene miRNA|gene::MIRLET7F1;miRNA::hsa-let-7f-1-3p,hsa-let-7f-5p;gene::MIRLET7F2,HUWE1;miRNA::hsa-let-7f-5p,hsa-let-7f-2-3p	114663	122019	150135	128537	233237	154621	110184	132382	179336	140164	100232	261286	160979	114726	351132	209591	102155	294785	320075	168643	99975	220617	283323	361924	143032	224648	347889	263561
36	0	gene miRNA|gene::MIRLET7A3,MIRLET7BHG,MIRLET7BHG;miRNA::hsa-let-7a-5p,hsa-let-7a-3p;gene::MIRLET7A1;miRNA::hsa-let-7a-5p,hsa-let-7a-3p;gene::MIRLET7A2,MIR100HG;miRNA::hsa-let-7a-5p,hsa-let-7a-2-3p	180224	195584	237340	198580	210325	227268	156731	247295	265665	220269	155038	321809	206293	251194	530505	302612	154239	424099	506972	328543	152647	340643	381402	486275	219057	349185	495584	474120
37	0	repeat gene|repeat::LINE;gene::CENPJ,CENPJ,CENPJ	941	868	1332	1359	2256	1643	835	964	1571	1102	846	2329	1395	1103	480	226	63	769	777	289	164	398	421	625	209	207	594	297
38	0	repeat|repeat::LTR	950	1787	1858	845	128	784	1406	554	672	1299	703	515	403	413	372	1257	694	490	533	786	848	1032	669	747	1056	1030	708	665
39	0	repeat|repeat::tRNA	1126	1041	1355	759	194	844	1070	858	1129	1541	817	1065	986	323	25795	134348	296477	32332	14383	38473	33708	109657	69244	16814	365962	284876	171699	63490
40	0	repeat|repeat::tRNA	49	65	55	37	12	45	92	36	43	68	27	38	33	32	4892	8418	9682	3249	2831	5368	6005	5765	5290	823	13128	9473	6017	3970
41	0	tRNA repeat|tRNA::tRNA-Glu-TTC-4-2;repeat::tRNA;tRNA::tRNA-Glu-TTC-8-1;repeat::tRNA;gene::LOC103091866,LOC103091866,LOC103091866,LOC103091866,LOC103091866;tRNA::tRNA-Glu-TTC-4-1;repeat::tRNA;gene::LOC103091866,LOC103091866,LOC103091866,LOC103091866,LOC103091866;tRNA::tRNA-Glu-TTC-3-1;repeat::tRNA;gene::LOC103091866,LOC103091866,LOC103091866,LOC103091866,LOC103091866	122	142	131	64	8	36	78	66	126	191	93	72	87	40	7570	20228	12994	3554	4392	5295	9653	5729	8725	5401	12769	14770	7045	4327
42	0	repeat|repeat::tRNA;tRNA::tRNA-Glu-CTC-1-4;repeat::tRNA;tRNA::tRNA-Glu-CTC-1-4;repeat::tRNA;tRNA::tRNA-Glu-CTC-1-5;repeat::tRNA;tRNA::tRNA-Glu-CTC-1-5;repeat::tRNA;tRNA::tRNA-Glu-CTC-2-1;repeat::tRNA;tRNA::tRNA-Glu-CTC-2-1;repeat::tRNA;tRNA::tRNA-Glu-CTC-1-7;repeat::tRNA;tRNA::tRNA-Glu-CTC-1-1;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10;tRNA::tRNA-Glu-CTC-1-1;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10;tRNA::tRNA-Glu-CTC-1-1;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10;tRNA::tRNA-Glu-CTC-1-2;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10;tRNA::tRNA-Glu-CTC-1-6;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10;tRNA::tRNA-Glu-CTC-1-3;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10	12824	13546	14547	10340	3060	5775	11401	8268	12776	27729	23176	4635	7681	7987	358252	647804	660213	236897	217630	436171	438910	434138	375295	99518	827442	684525	398507	291242
43	0	|tRNA::tRNA-His-GTG-1-3;repeat::tRNA;gene::NBPF8,NBPF8,NBPF8;tRNA::tRNA-His-GTG-1-2;repeat::tRNA;gene::NBPF8,NBPF8,NBPF8;tRNA::tRNA-His-GTG-1-5;repeat::tRNA;gene::NBPF8,NBPF8,NBPF8;tRNA::tRNA-His-GTG-1-9;repeat::tRNA;gene::SHF;tRNA::tRNA-His-GTG-1-4;repeat::tRNA;gene::NBPF8,NBPF8,NBPF8;tRNA::tRNA-His-GTG-1-6;repeat::tRNA;gene::NBPF8,NBPF8,NBPF8;tRNA::tRNA-His-GTG-1-1;repeat::tRNA;gene::NBPF10,NBPF20,NBPF10;tRNA::tRNA-His-GTG-1-7;repeat::tRNA;gene::SHF;tRNA::tRNA-His-GTG-1-8;repeat::tRNA;gene::SHF	25266	37197	44014	31239	5025	13594	24221	22868	16382	47220	43818	8672	8878	34204	56005	251770	179842	134216	81200	169939	103221	337298	38244	80765	199309	217774	73267	139372
44	0	repeat|repeat::tRNA	252	176	322	222	67	215	163	226	357	4388	384	206	190	196	222	632	310	473	377	337	138	705	344	388	605	17745	654	368
45	0	ncrna gene|ncrna::U82;gene::SNORD82,NCL	525	399	766	1054	339	114	404	410	2187	1448	2303	143	228	421	4221	4584	4154	3899	6985	3534	2119	5359	2935	6756	6158	5371	9456	5549
46	0	gene miRNA|gene::MIR99A,MIR99AHG,MIR99AHG,MIR99AHG,MIR99AHG;miRNA::hsa-miR-99a-5p,hsa-miR-99a-3p	7443	6318	9178	8100	13960	8439	5872	7224	10113	8414	7009	8733	7008	9093	11642	7136	4658	11792	9112	9919	4971	8903	12611	15948	8085	8946	14911	10300
47	0	gene miRNA|gene::MIR100,MIR100HG;miRNA::hsa-miR-100-5p,hsa-miR-100-3p	14730	18537	30189	17607	20545	24260	16620	35481	29335	21257	17033	18929	17034	62431	21358	15557	12993	30316	48693	36491	14348	97180	41323	49556	18896	28701	67025	62559
48	0	ncrna gene|ncrna::U35B;gene::SNORD35B,RPS11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	44	73	39	129	93	55	23	154	57	198	67	122	142	201
49	0	|	19076	23946	13618	16425	7733	19739	31032	9927	19868	23559	11741	37348	21172	6029	72493	76204	35916	89498	59642	30258	53183	38839	61048	179106	41933	80805	76321	41035
50	0	repeat gene|repeat::LTR;gene::NCOA1,NCOA1,NCOA1	707	1126	385	1450	226	904	844	531	185	1226	474	6525	984	335	2417	1263	256	401	409	589	296	215	1223	5442	566	1094	169	449
51	0	gene miRNA|gene::MIR17,MIR17HG,MIR17HG;miRNA::hsa-miR-17-5p,hsa-miR-17-3p	1162	1243	1418	1127	326	1172	570	1926	1976	1257	884	1279	863	2095	1357	910	714	1320	2179	1432	594	1715	1448	1816	885	1398	2264	2449
52	0	gene miRNA|gene::MIR219B,MIR219A2,MIR1268A;miRNA::hsa-miR-219a-5p,hsa-miR-219a-2-3p,hsa-miR-219b-5p,hsa-miR-219b-3p	17183	22194	30436	17795	19948	13446	6283	45681	26981	28712	15455	17831	15063	55817	29012	10565	8432	12829	57955	36940	12094	64099	24590	24803	19671	35797	37474	74658
53	0	repeat gene|repeat::scRNA;gene::TOP2A	280	299	277	201	47	268	127	415	490	369	166	222	137	423	104	63	30	96	178	219	61	133	200	183	48	91	183	149
54	0	repeat|repeat::scRNA	9024	13598	10899	8858	5309	14308	14149	12237	13899	16706	6790	11622	10635	23913	47875	54390	36508	62038	96437	97996	48200	103173	55833	75301	56063	97663	58546	64668
55	0	|	3256	5181	3971	5119	2384	7980	6244	2149	3119	3760	2469	9615	2591	1514	25721	29582	9138	25684	23254	17661	41828	13967	12273	47074	13149	17713	14376	13277
56	0	repeat miRNA gene|repeat::LINE,LINE;miRNA::hsa-miR-151a-5p,hsa-miR-151a-3p;gene::PTK2,PTK2,PTK2,PTK2	59259	72591	103948	59441	55917	60298	45119	103622	93542	81687	48374	97774	60588	132431	105925	75533	38138	82068	199939	75544	41139	148692	99198	140241	65306	100255	139801	171965
57	0	repeat gene|repeat::LINE;gene::IDE,IDE	85	86	163	73	49	102	31	189	219	124	86	137	59	128	38	11	3	33	138	37	5	90	47	64	14	28	59	109
58	0	repeat miRNA gene|repeat::LINE,LINE;miRNA::hsa-miR-28-5p,hsa-miR-28-3p;gene::MIR28,LPP,LPP,LPP	4878	7516	8258	6476	6150	7883	5854	6740	7701	9130	3504	11329	9262	5901	13575	8144	6939	14024	16959	11999	5264	9967	15413	16912	5663	12659	13987	16162
59	0	repeat gene|repeat::LINE;gene::PPIC	582	688	628	412	223	484	386	322	700	739	441	821	443	235	619	561	261	666	490	166	309	271	633	939	505	577	791	524
60	0	repeat|repeat::LINE	54	44	106	45	22	35	29	58	103	36	40	93	54	132	8	0	0	0	14	0	0	5	8	15	0	0	8	8
61	0	ncrna gene|ncrna::U56;gene::SNORD56,NOP56,NOP56	102	54	95	79	10	40	42	111	205	157	57	111	74	67	351	378	210	311	395	183	131	501	507	768	306	459	909	466
62	0	gene miRNA|gene::SPACA6,MIR99B,SPACA6P-AS;miRNA::hsa-miR-99b-5p,hsa-miR-99b-3p	21423	16119	22896	17374	35056	29999	18621	24737	37436	26439	17992	25278	19703	35548	18467	19155	12241	31380	28153	19460	15124	46021	41364	59361	15659	24737	60310	32915
63	0	gene miRNA|gene::MIR448,HTR2C,HTR2C,HTR2C;miRNA::hsa-miR-448	299	625	561	425	89	909	229	599	2369	1687	1264	1277	1473	141	1235	1138	534	2564	1291	1439	386	171	2787	1911	1458	1734	3058	796
