GC_Content	Count	sample
0	24.0	cc1
1	24.0	cc1
2	21.5	cc1
3	21.0	cc1
4	23.0	cc1
5	23.0	cc1
6	25.0	cc1
7	35.0	cc1
8	58.0	cc1
9	87.0	cc1
10	104.0	cc1
11	135.0	cc1
12	210.5	cc1
13	290.5	cc1
14	347.5	cc1
15	458.0	cc1
16	674.0	cc1
17	1001.0	cc1
18	1531.5	cc1
19	2173.5	cc1
20	7347.0	cc1
21	13754.5	cc1
22	15380.0	cc1
23	14660.0	cc1
24	14778.0	cc1
25	29126.5	cc1
26	50713.0	cc1
27	59285.0	cc1
28	74780.0	cc1
29	93948.5	cc1
30	224195.0	cc1
31	437531.5	cc1
32	529614.0	cc1
33	666814.5	cc1
34	923540.5	cc1
35	1049055.0	cc1
36	1101991.0	cc1
37	1074712.0	cc1
38	1016473.5	cc1
39	1107916.5	cc1
40	1201080.5	cc1
41	1242305.0	cc1
42	1258123.0	cc1
43	1584559.5	cc1
44	1929099.5	cc1
45	2092458.0	cc1
46	2491675.5	cc1
47	2741855.0	cc1
48	2366406.0	cc1
49	1991948.0	cc1
50	1612734.5	cc1
51	1233521.0	cc1
52	1038708.5	cc1
53	810166.0	cc1
54	723917.5	cc1
55	627914.5	cc1
56	553369.0	cc1
57	554409.5	cc1
58	585553.5	cc1
59	542014.0	cc1
60	502869.5	cc1
61	447742.5	cc1
62	410360.5	cc1
63	405844.0	cc1
64	350333.5	cc1
65	317761.0	cc1
66	264532.5	cc1
67	205132.5	cc1
68	158302.5	cc1
69	113690.0	cc1
70	101114.0	cc1
71	77775.5	cc1
72	59173.5	cc1
73	56755.5	cc1
74	43420.0	cc1
75	28731.5	cc1
76	23519.5	cc1
77	20219.5	cc1
78	19089.5	cc1
79	21072.0	cc1
80	21576.5	cc1
81	21503.5	cc1
82	23405.0	cc1
83	22211.0	cc1
84	20458.0	cc1
85	15017.0	cc1
86	7312.0	cc1
87	4097.0	cc1
88	3234.5	cc1
89	2754.0	cc1
90	2517.0	cc1
91	2068.0	cc1
92	1501.5	cc1
93	1032.0	cc1
94	745.0	cc1
95	678.0	cc1
96	672.0	cc1
97	538.5	cc1
98	271.5	cc1
99	138.0	cc1
100	138.0	cc1
