Tile	Base	Mean	sample
1	1	-3.1640266652546742	cc2
1	2	-3.0459701727007555	cc2
1	3	-2.535109768430729	cc2
1	4	-3.00015648537984	cc2
1	5	-2.544223370916164	cc2
1	6	-1.9767472887791229	cc2
1	7	-1.6757649649966666	cc2
1	8	-1.8524324172199371	cc2
1	9	-2.0018764307128762	cc2
1	10	-1.7670398652286536	cc2
1	11	-1.44908457956668	cc2
1	12	-1.5866211413197604	cc2
1	13	-1.5659592012267112	cc2
1	14	-1.496625314475267	cc2
1	15	-1.2646399406417643	cc2
1	16	-1.2121288171626645	cc2
1	17	-1.3039577132837579	cc2
1	18	-1.3732945331390667	cc2
1	19	-1.2755827941157634	cc2
1	20	-1.2206327820799245	cc2
1	21	-1.1148436508221877	cc2
1	22	-1.021627685743816	cc2
1	23	-0.6803384721494581	cc2
1	24	-1.3673414393615957	cc2
1	25	-1.3046424699665238	cc2
1	26	-1.5019871389829902	cc2
1	27	-0.9962359297439392	cc2
1	28	0.4566526517284757	cc2
2	1	-0.7403203242184304	cc2
2	2	-0.7290592552983739	cc2
2	3	-0.7513853588702517	cc2
2	4	-0.7353092830185375	cc2
2	5	-0.7534890526709219	cc2
2	6	-0.768871517217633	cc2
2	7	-0.8203181683666472	cc2
2	8	-0.8334107188577775	cc2
2	9	-0.8544107843892235	cc2
2	10	-0.8021886861170557	cc2
2	11	-0.8164774133393422	cc2
2	12	-0.7944792384354926	cc2
2	13	-0.7888515338466249	cc2
2	14	-0.827390556835077	cc2
2	15	-0.7958797675596188	cc2
2	16	-0.7666033728455943	cc2
2	17	-0.8061934279129801	cc2
2	18	-0.8197946393207758	cc2
2	19	-0.7684482943043065	cc2
2	20	-0.8335359325306868	cc2
2	21	-0.8629304196068404	cc2
2	22	-0.8658301467225087	cc2
2	23	-1.0045747246952814	cc2
2	24	-1.1569065605579425	cc2
2	25	-0.936510022428827	cc2
2	26	-1.5020716073601363	cc2
2	27	-1.4730452060334258	cc2
2	28	-2.8005117524947494	cc2
3	1	-0.611398852179903	cc2
3	2	-0.589588292810987	cc2
3	3	-0.728945031578796	cc2
3	4	-0.7695903660700125	cc2
3	5	-0.721137301144239	cc2
3	6	-0.7667404226268388	cc2
3	7	-0.7976505208309987	cc2
3	8	-0.8597522565379734	cc2
3	9	-0.8226600974092619	cc2
3	10	-0.7953707137181496	cc2
3	11	-0.7479081451136835	cc2
3	12	-0.7617428736118725	cc2
3	13	-0.7794599902251065	cc2
3	14	-0.765597550751778	cc2
3	15	-0.785913828319913	cc2
3	16	-0.7445786701456143	cc2
3	17	-0.7726377946511604	cc2
3	18	-0.8113045806156407	cc2
3	19	-0.7128287370082305	cc2
3	20	-0.7805302705346762	cc2
3	21	-0.7884839311744685	cc2
3	22	-0.7614449010200275	cc2
3	23	-0.8305541061385782	cc2
3	24	-1.1521150619100027	cc2
3	25	-0.5018950615386615	cc2
3	26	-0.7567057537016026	cc2
3	27	-1.0360305382163375	cc2
3	28	-1.2946293995535783	cc2
4	1	-0.5379512935057065	cc2
4	2	-0.509302548332208	cc2
4	3	-0.5874797793888575	cc2
4	4	-0.6648210574992461	cc2
4	5	-0.6348550429641264	cc2
4	6	-0.6983734325213504	cc2
4	7	-0.6714989138433367	cc2
4	8	-0.6868013737456806	cc2
4	9	-0.6249548939968363	cc2
4	10	-0.6799527595800825	cc2
4	11	-0.5705193488067977	cc2
4	12	-0.5714678400506656	cc2
4	13	-0.6169858716089465	cc2
4	14	-0.6388158231171133	cc2
4	15	-0.6162101570387364	cc2
4	16	-0.6636318023639447	cc2
4	17	-0.6884305808998477	cc2
