Base	N-Count	sample
1	1.0397247040530715	cc3
2	0.09775704286063848	cc3
3	0.01526324538239506	cc3
4	9.636321774680082E-4	cc3
5	0.0	cc3
6	0.0	cc3
7	0.0	cc3
8	0.0	cc3
9	2.0649260945743034E-4	cc3
10	0.0	cc3
11	0.0	cc3
12	1.376617396382869E-4	cc3
13	7.743472854653638E-4	cc3
14	0.0015659022883855133	cc3
15	0.028874549889130678	cc3
16	0.008517820140119002	cc3
17	0.0	cc3
18	0.0	cc3
19	0.0	cc3
20	0.0	cc3
21	0.0	cc3
22	0.0	cc3
23	0.0	cc3
24	0.019286956438575826	cc3
25	8.413860994602509E-4	cc3
26	0.0	cc3
27	0.0	cc3
28	0.005364423145697733	cc3
