Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	36.78863020718436	39.0	38.0	40.0	32.0	40.0	cc3
2	36.673650132000404	39.0	38.0	40.0	31.0	40.0	cc3
3	36.67362586911879	40.0	38.0	40.0	31.0	40.0	cc3
4	36.589454319188704	39.0	38.0	40.0	31.0	40.0	cc3
5	36.65225526065734	39.0	38.0	40.0	31.0	40.0	cc3
6	36.505843396693294	39.0	38.0	40.0	31.0	40.0	cc3
7	36.704793519435945	40.0	38.0	40.0	31.0	40.0	cc3
8	36.62461003010318	40.0	38.0	40.0	31.0	40.0	cc3
9	36.57306224754127	40.0	38.0	40.0	31.0	40.0	cc3
10	36.63264431338282	40.0	38.0	40.0	31.0	40.0	cc3
11	36.87845311568095	40.0	38.0	40.0	32.0	40.0	cc3
12	36.77086822915035	40.0	38.0	40.0	31.0	40.0	cc3
13	36.74642139703951	40.0	38.0	40.0	31.0	40.0	cc3
14	36.71257897912119	40.0	38.0	40.0	31.0	40.0	cc3
15	36.66525706781183	39.0	38.0	40.0	31.0	40.0	cc3
16	36.74387052500402	40.0	38.0	40.0	32.0	40.0	cc3
17	36.55506039392595	39.0	38.0	40.0	31.0	40.0	cc3
18	36.61282846564369	39.0	38.0	40.0	31.0	40.0	cc3
19	36.45823949503107	39.0	38.0	40.0	31.0	40.0	cc3
20	36.482937609363496	39.0	38.0	40.0	31.0	40.0	cc3
21	36.373715440907326	39.0	38.0	40.0	31.0	40.0	cc3
22	36.67170230319271	40.0	38.0	40.0	31.0	40.0	cc3
23	36.119263575007515	39.0	37.0	40.0	30.0	40.0	cc3
24	36.219209808612824	39.0	38.0	40.0	31.0	40.0	cc3
25	36.14331329432107	39.0	37.0	40.0	30.0	40.0	cc3
26	36.072924053428814	39.0	37.0	40.0	31.0	40.0	cc3
27	36.36059881094785	39.0	38.0	40.0	31.0	40.0	cc3
28	36.076478792647166	39.0	37.0	40.0	30.0	40.0	cc3
