Quality	Count	sample
2	408800.0	cc7
3	8601.0	cc7
4	3924.0	cc7
5	4812.0	cc7
6	6051.0	cc7
7	10034.0	cc7
8	9806.0	cc7
9	6371.0	cc7
10	6322.0	cc7
11	7859.0	cc7
12	9763.0	cc7
13	11506.0	cc7
14	13501.0	cc7
15	15081.0	cc7
16	15886.0	cc7
17	18004.0	cc7
18	22439.0	cc7
19	30015.0	cc7
20	38797.0	cc7
21	46887.0	cc7
22	53100.0	cc7
23	59399.0	cc7
24	63782.0	cc7
25	67683.0	cc7
26	68322.0	cc7
27	72516.0	cc7
28	80420.0	cc7
29	88494.0	cc7
30	100439.0	cc7
31	115426.0	cc7
32	136585.0	cc7
33	168094.0	cc7
34	216208.0	cc7
35	314187.0	cc7
36	510702.0	cc7
37	849625.0	cc7
38	1418042.0	cc7
39	3389740.0	cc7
40	534092.0	cc7
