Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	36.61873367632876	39.0	38.0	40.0	31.0	40.0	ct1
2	36.66763301420686	39.0	38.0	40.0	31.0	40.0	ct1
3	36.54761220820899	39.0	38.0	40.0	30.0	40.0	ct1
4	36.58766430598614	39.0	38.0	40.0	31.0	40.0	ct1
5	36.587102764797024	39.0	38.0	40.0	31.0	40.0	ct1
6	36.3551821145682	39.0	38.0	40.0	30.0	40.0	ct1
7	36.68854138641346	40.0	38.0	40.0	31.0	40.0	ct1
8	36.630015273368464	39.0	38.0	40.0	31.0	40.0	ct1
9	36.627188803392976	40.0	38.0	40.0	31.0	40.0	ct1
10	36.61091983758077	40.0	38.0	40.0	31.0	40.0	ct1
11	36.97495719455677	40.0	38.0	40.0	33.0	40.0	ct1
12	36.82523596457462	40.0	38.0	40.0	32.0	40.0	ct1
13	36.929066448120906	40.0	38.0	40.0	33.0	40.0	ct1
14	36.85774409450448	40.0	38.0	40.0	32.0	40.0	ct1
15	36.7825527634863	39.0	38.0	40.0	32.0	40.0	ct1
16	36.83719913740651	40.0	38.0	40.0	33.0	40.0	ct1
17	36.62581323443586	39.0	38.0	40.0	31.0	40.0	ct1
18	36.77823199454902	39.0	38.0	40.0	32.0	40.0	ct1
19	36.553407145896806	39.0	38.0	40.0	31.0	40.0	ct1
20	36.55487527226827	39.0	38.0	40.0	31.0	40.0	ct1
21	36.12625118812803	39.0	37.0	40.0	30.0	40.0	ct1
22	36.543810765330385	39.0	38.0	40.0	31.0	40.0	ct1
23	35.79878624294263	39.0	36.0	40.0	29.0	40.0	ct1
24	35.27754611379082	39.0	35.0	40.0	28.0	40.0	ct1
25	35.616682280645435	39.0	36.0	40.0	29.0	40.0	ct1
26	35.6975276454194	39.0	36.0	40.0	30.0	40.0	ct1
27	36.19468256769704	39.0	37.0	40.0	31.0	40.0	ct1
28	35.93395781052004	39.0	36.0	40.0	30.0	40.0	ct1
