GC_Content	Count	sample
0	3.0	ct2
1	3.0	ct2
2	4.5	ct2
3	5.5	ct2
4	5.0	ct2
5	5.0	ct2
6	5.0	ct2
7	11.0	ct2
8	22.0	ct2
9	31.0	ct2
10	35.5	ct2
11	41.5	ct2
12	55.5	ct2
13	86.0	ct2
14	125.5	ct2
15	190.0	ct2
16	289.0	ct2
17	429.5	ct2
18	709.0	ct2
19	1096.5	ct2
20	3239.5	ct2
21	5986.5	ct2
22	6859.5	ct2
23	7901.5	ct2
24	9864.0	ct2
25	18913.5	ct2
26	32358.5	ct2
27	37884.0	ct2
28	46586.0	ct2
29	57467.0	ct2
30	134608.5	ct2
31	255841.0	ct2
32	306366.5	ct2
33	385590.5	ct2
34	552706.5	ct2
35	647472.0	ct2
36	700340.0	ct2
37	714957.0	ct2
38	696349.0	ct2
39	786009.0	ct2
40	863350.5	ct2
41	879913.0	ct2
42	902504.0	ct2
43	1148163.5	ct2
44	1398446.5	ct2
45	1533889.0	ct2
46	1830935.5	ct2
47	2000812.0	ct2
48	1789497.0	ct2
49	1585131.0	ct2
50	1320454.0	ct2
51	1055777.0	ct2
52	866187.0	ct2
53	650591.5	ct2
54	587258.0	ct2
55	518359.5	ct2
56	466471.0	ct2
57	465097.0	ct2
58	484734.0	ct2
59	454410.5	ct2
60	422565.5	ct2
61	397415.5	ct2
62	397173.5	ct2
63	394856.5	ct2
64	346267.0	ct2
65	320909.5	ct2
66	273338.0	ct2
67	220835.0	ct2
68	183437.0	ct2
69	143776.5	ct2
70	129317.5	ct2
71	110037.0	ct2
72	93836.0	ct2
73	91003.5	ct2
74	72497.0	ct2
75	52072.0	ct2
76	42296.0	ct2
77	35903.0	ct2
78	35188.0	ct2
79	37019.0	ct2
80	37025.5	ct2
81	37780.0	ct2
82	40393.5	ct2
83	37910.0	ct2
84	34863.0	ct2
85	27234.0	ct2
86	15850.5	ct2
87	10185.5	ct2
88	8460.0	ct2
89	7421.0	ct2
90	6747.0	ct2
91	6198.0	ct2
92	5855.5	ct2
93	5450.5	ct2
94	4856.5	ct2
95	4469.0	ct2
96	4411.0	ct2
97	3629.0	ct2
98	1949.0	ct2
99	1051.0	ct2
100	1051.0	ct2
