Quality	Count	sample
2	233836.0	ct5
3	5192.0	ct5
4	2303.0	ct5
5	2944.0	ct5
6	3837.0	ct5
7	6111.0	ct5
8	5673.0	ct5
9	4024.0	ct5
10	4059.0	ct5
11	5032.0	ct5
12	6276.0	ct5
13	7486.0	ct5
14	8588.0	ct5
15	9454.0	ct5
16	9986.0	ct5
17	11249.0	ct5
18	13579.0	ct5
19	17685.0	ct5
20	22756.0	ct5
21	27971.0	ct5
22	31696.0	ct5
23	35499.0	ct5
24	39989.0	ct5
25	42161.0	ct5
26	40482.0	ct5
27	41124.0	ct5
28	45192.0	ct5
29	50974.0	ct5
30	57086.0	ct5
31	65976.0	ct5
32	78188.0	ct5
33	96367.0	ct5
34	125427.0	ct5
35	186678.0	ct5
36	309132.0	ct5
37	552761.0	ct5
38	1134529.0	ct5
39	3242531.0	ct5
40	757544.0	ct5
