Tile	Base	Mean	sample
1	1	-0.7191518782031991	ct6
1	2	-0.8357377650513556	ct6
1	3	-0.7850098590664345	ct6
1	4	-0.7088612908100345	ct6
1	5	-0.7603024546145534	ct6
1	6	-0.7946156633449277	ct6
1	7	-0.7481923578321457	ct6
1	8	-0.6777767991330919	ct6
1	9	-0.8011025015495932	ct6
1	10	-0.7280232080841245	ct6
1	11	-0.7092722301662135	ct6
1	12	-0.6889777097266432	ct6
1	13	-0.7154513771177378	ct6
1	14	-0.6894237764315179	ct6
1	15	-0.8007684359308982	ct6
1	16	-0.6917964983971459	ct6
1	17	-0.7410399297947876	ct6
1	18	-0.7230784951318938	ct6
1	19	-0.7978413477031054	ct6
1	20	-0.38844545170584155	ct6
1	21	-0.4567973175808433	ct6
1	22	-0.40677719034127335	ct6
1	23	-0.4485760262170828	ct6
1	24	-0.24838204272677444	ct6
1	25	-0.4145683094327026	ct6
1	26	-0.21614070060927304	ct6
1	27	0.11129461434823895	ct6
1	28	0.07342564629965409	ct6
2	1	-0.7452294995577518	ct6
2	2	-0.7628543795092924	ct6
2	3	-0.7489327081038155	ct6
2	4	-0.733209302520649	ct6
2	5	-0.744779234325712	ct6
2	6	-0.7860019991040019	ct6
2	7	-0.7611193011895523	ct6
2	8	-0.7802375697592367	ct6
2	9	-0.7434457267238272	ct6
2	10	-0.6760298566084657	ct6
2	11	-0.6641211472022093	ct6
2	12	-0.7126020341948802	ct6
2	13	-0.6868167338742026	ct6
2	14	-0.7081374479074043	ct6
2	15	-0.7090918659620087	ct6
2	16	-0.6346710037991272	ct6
2	17	-0.64346708053057	ct6
2	18	-0.730201720698318	ct6
2	19	-0.6915736843328233	ct6
2	20	-0.3781846180198585	ct6
2	21	-0.42293547435856027	ct6
2	22	-0.40115570828303504	ct6
2	23	-0.33669878790682617	ct6
2	24	0.15324370207638083	ct6
2	25	-0.35940284403705647	ct6
2	26	-0.746174598914358	ct6
2	27	0.06252534818766975	ct6
2	28	-0.36803865235928157	ct6
3	1	-0.6711949209857693	ct6
3	2	-0.7324361397543129	ct6
3	3	-0.7288423094972671	ct6
