Base	N-Count	sample
1	1.0265669992736	ct7
2	0.11419539462052858	ct7
3	0.01382200680942357	ct7
4	0.0023384214106460135	ct7
5	5.9577615557860213E-5	ct7
6	0.0	ct7
7	0.0	ct7
8	0.0	ct7
9	0.0	ct7
10	0.0	ct7
11	0.0	ct7
12	0.0	ct7
13	0.13964993086762434	ct7
14	4.3193771279448654E-4	ct7
15	0.23613587926357896	ct7
16	0.0	ct7
17	0.0	ct7
18	0.0	ct7
19	0.0	ct7
20	0.0	ct7
21	0.0	ct7
22	0.0	ct7
23	0.012692760820858176	ct7
24	0.01561367311660068	ct7
25	0.0010350823925584477	ct7
26	0.0	ct7
27	0.0	ct7
28	0.0424692856059457	ct7
