Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	38.5629085857218	40.0	38.0	40.0	35.0	40.0	pc1
2	38.39312453633923	40.0	38.0	40.0	35.0	40.0	pc1
3	38.08637859104041	40.0	38.0	40.0	35.0	40.0	pc1
4	38.344301179808134	40.0	38.0	40.0	35.0	40.0	pc1
5	38.38582396444188	40.0	38.0	40.0	35.0	40.0	pc1
6	38.098192434430025	39.0	38.0	40.0	35.0	40.0	pc1
7	38.22878163196816	40.0	38.0	40.0	35.0	40.0	pc1
8	38.1909446438104	40.0	38.0	40.0	35.0	40.0	pc1
9	38.16574645949616	40.0	38.0	40.0	35.0	40.0	pc1
10	36.4459434711657	40.0	38.0	40.0	31.0	40.0	pc1
11	38.201379648383224	40.0	38.0	40.0	35.0	40.0	pc1
12	38.1443263744966	40.0	38.0	40.0	35.0	40.0	pc1
13	37.98567631669846	40.0	38.0	40.0	34.0	40.0	pc1
14	38.09855802726816	40.0	38.0	40.0	35.0	40.0	pc1
15	37.988020134162326	39.0	38.0	40.0	34.0	40.0	pc1
16	38.36216254572824	40.0	38.0	40.0	35.0	40.0	pc1
17	38.20995209819991	40.0	38.0	40.0	35.0	40.0	pc1
18	38.208351499474134	40.0	38.0	40.0	35.0	40.0	pc1
19	38.132984784875035	40.0	38.0	40.0	35.0	40.0	pc1
20	38.19707873382594	40.0	38.0	40.0	35.0	40.0	pc1
21	38.00439377477702	39.0	38.0	40.0	35.0	40.0	pc1
22	38.327921932786154	40.0	38.0	40.0	35.0	40.0	pc1
23	37.9961897849257	39.0	38.0	40.0	35.0	40.0	pc1
24	37.872854842685264	39.0	38.0	40.0	33.0	40.0	pc1
25	37.83797455293689	39.0	38.0	40.0	33.0	40.0	pc1
26	37.64129492406794	39.0	38.0	40.0	33.0	40.0	pc1
27	37.4467182715129	39.0	37.0	40.0	33.0	40.0	pc1
28	37.2449903285356	39.0	37.0	40.0	33.0	40.0	pc1
29	37.24960372281671	39.0	36.0	40.0	33.0	40.0	pc1
30	36.96623245772624	39.0	36.0	40.0	33.0	40.0	pc1
31	36.92347483083674	39.0	36.0	40.0	33.0	40.0	pc1
32	37.05727687798839	39.0	36.0	40.0	33.0	40.0	pc1
33	37.01905094693554	39.0	36.0	40.0	33.0	40.0	pc1
34	36.78623785542073	38.0	36.0	40.0	32.0	40.0	pc1
35	36.77483789674289	38.0	36.0	40.0	32.0	40.0	pc1
36	36.26377902017741	38.0	36.0	40.0	31.0	40.0	pc1
37	36.59789982200678	38.0	36.0	40.0	31.0	40.0	pc1
38	36.75789578602507	39.0	36.0	40.0	32.0	40.0	pc1
39	36.51772086581027	38.0	35.0	40.0	31.0	40.0	pc1
40	36.14730484495613	38.0	35.0	40.0	30.0	40.0	pc1
41	36.00090817649249	38.0	35.0	40.0	30.0	40.0	pc1
42	35.868748940785686	38.0	35.0	40.0	30.0	40.0	pc1
43	36.30897304674173	39.0	35.0	40.0	30.0	40.0	pc1
44	36.13653659513503	38.0	35.0	40.0	30.0	40.0	pc1
45	35.95113076047791	38.0	35.0	40.0	30.0	40.0	pc1
46	36.32684428450649	39.0	36.0	40.0	31.0	40.0	pc1
47	35.51012409629255	38.0	35.0	40.0	29.0	40.0	pc1
48	35.55057471264368	38.0	35.0	40.0	29.0	40.0	pc1
49	35.716357796208236	38.0	35.0	39.0	30.0	40.0	pc1
50	35.84094081075937	38.0	35.0	40.0	30.0	40.0	pc1
51	35.86446222847595	38.0	35.0	40.0	30.0	40.0	pc1
52	35.876656139269755	38.0	35.0	40.0	30.0	40.0	pc1
53	35.62899985502143	38.0	35.0	39.0	30.0	40.0	pc1
54	35.529825836190646	38.0	35.0	39.0	29.0	40.0	pc1
55	35.42929243433947	38.0	35.0	39.0	29.0	40.0	pc1
56	35.21181870040969	38.0	34.0	39.0	29.0	40.0	pc1
57	35.325289291536386	38.0	34.0	39.0	29.0	40.0	pc1
58	35.18032968862741	38.0	34.0	39.0	28.0	40.0	pc1
59	34.74021291208791	38.0	33.0	39.0	27.0	40.0	pc1
60	35.15946470131885	38.0	34.0	39.0	29.0	40.0	pc1
61	35.63985642116458	38.0	35.0	39.0	31.0	40.0	pc1
62	35.60424383200452	38.0	35.0	39.0	31.0	40.0	pc1
63	36.10980327598979	38.0	35.0	40.0	31.0	40.0	pc1
64	35.23312119535141	37.0	34.0	39.0	30.0	40.0	pc1
65	35.278334211913545	37.0	34.0	39.0	30.0	40.0	pc1
66	35.083242059145675	37.0	34.0	39.0	29.0	40.0	pc1
67	35.865520728008086	38.0	35.0	39.0	31.0	40.0	pc1
68	35.50042771599658	37.0	35.0	39.0	30.0	40.0	pc1
