GC_Content	Count	sample
0	62.0	pc4
1	61.0	pc4
2	51.0	pc4
3	36.5	pc4
4	31.5	pc4
5	30.5	pc4
6	29.5	pc4
7	38.5	pc4
8	61.0	pc4
9	93.5	pc4
10	126.0	pc4
11	166.0	pc4
12	230.0	pc4
13	336.5	pc4
14	450.5	pc4
15	641.5	pc4
16	959.5	pc4
17	1424.0	pc4
18	2261.0	pc4
19	4260.0	pc4
20	12977.5	pc4
21	22060.5	pc4
22	23085.0	pc4
23	21572.5	pc4
24	23079.5	pc4
25	46443.5	pc4
26	78937.0	pc4
27	91637.0	pc4
28	112609.0	pc4
29	139811.5	pc4
30	318642.5	pc4
31	596648.5	pc4
32	713600.5	pc4
33	870764.0	pc4
34	1179129.5	pc4
35	1345833.5	pc4
36	1443613.5	pc4
37	1456133.5	pc4
38	1394191.0	pc4
39	1652948.0	pc4
40	1907895.5	pc4
41	1948377.0	pc4
42	1983572.5	pc4
43	2196383.5	pc4
44	2452717.0	pc4
45	2703395.5	pc4
46	3317820.0	pc4
47	3903868.5	pc4
48	3871202.5	pc4
49	3717201.0	pc4
50	3114122.5	pc4
51	2420865.5	pc4
52	2282108.5	pc4
53	2029396.5	pc4
54	1792324.5	pc4
55	1294400.5	pc4
56	963873.5	pc4
57	1222458.0	pc4
58	1375733.5	pc4
59	1190481.0	pc4
60	889896.0	pc4
61	684367.0	pc4
62	621107.5	pc4
63	571282.0	pc4
64	449835.0	pc4
65	374056.5	pc4
66	294957.0	pc4
67	215829.5	pc4
68	177602.5	pc4
69	135922.0	pc4
70	116733.0	pc4
71	96777.0	pc4
72	84464.5	pc4
73	83924.0	pc4
74	68183.0	pc4
75	49515.5	pc4
76	38590.5	pc4
77	30588.5	pc4
78	25469.0	pc4
79	24531.5	pc4
80	22945.5	pc4
81	22613.0	pc4
82	23664.0	pc4
83	21695.5	pc4
84	18366.0	pc4
85	18563.0	pc4
86	21474.5	pc4
87	23538.0	pc4
88	24745.5	pc4
89	25113.0	pc4
90	25112.0	pc4
91	19750.0	pc4
92	9509.0	pc4
93	3344.0	pc4
94	1759.5	pc4
95	1339.0	pc4
96	1264.5	pc4
97	1015.0	pc4
98	461.0	pc4
99	147.0	pc4
100	146.0	pc4
