Base	N-Count	sample
1	0.008835311756631829	pc5
2	6.887214064189622E-4	pc5
3	0.0	pc5
4	0.0	pc5
5	0.0	pc5
6	2.6237005958817607E-5	pc5
7	0.0	pc5
8	0.0	pc5
9	0.0	pc5
10	0.0	pc5
11	1.9021829320142766E-4	pc5
12	0.016798243065132973	pc5
13	6.428066459910314E-4	pc5
14	0.0013118502979408806	pc5
15	0.0	pc5
16	0.0	pc5
17	6.559251489704402E-6	pc5
18	0.0	pc5
19	0.0	pc5
20	0.0	pc5
21	0.0	pc5
22	0.0	pc5
23	0.0	pc5
24	0.0	pc5
25	3.864195178952811E-5	pc5
26	9.44240623985679E-4	pc5
27	1.9992290972600965E-5	pc5
28	4.068176122735246E-5	pc5
29	2.0654802685702684E-5	pc5
30	0.0	pc5
31	4.355139881649074E-5	pc5
32	0.0	pc5
33	4.662385767663371E-4	pc5
34	0.0015318428894798924	pc5
35	4.932357647225943E-4	pc5
36	1.235625047108205E-4	pc5
37	4.6739091485539704E-4	pc5
38	1.8147140645784145E-4	pc5
39	0.0	pc5
40	2.454969717948529E-4	pc5
41	0.0	pc5
42	0.0016454675596070621	pc5
43	3.672285263119239E-4	pc5
44	0.0	pc5
45	0.0	pc5
46	0.0	pc5
47	0.0	pc5
48	0.0	pc5
49	0.0	pc5
50	0.0	pc5
51	0.0	pc5
52	0.0	pc5
53	0.0	pc5
54	0.0	pc5
55	0.0	pc5
56	0.0	pc5
57	0.0	pc5
58	0.0	pc5
59	0.0	pc5
60	0.0	pc5
61	0.0	pc5
62	0.0037715923662970507	pc5
63	0.0	pc5
64	0.0	pc5
65	0.0	pc5
66	0.0	pc5
67	0.01998800719568259	pc5
68	0.031347962382445145	pc5
