Quality	Count	sample
2	1706.0	pc7
3	366.0	pc7
4	197.0	pc7
5	214.0	pc7
6	230.0	pc7
7	396.0	pc7
8	399.0	pc7
9	524.0	pc7
10	724.0	pc7
11	941.0	pc7
12	1122.0	pc7
13	1280.0	pc7
14	1508.0	pc7
15	1721.0	pc7
16	2065.0	pc7
17	2593.0	pc7
18	3152.0	pc7
19	3781.0	pc7
20	4764.0	pc7
21	6374.0	pc7
22	8836.0	pc7
23	12371.0	pc7
24	17690.0	pc7
25	26350.0	pc7
26	38409.0	pc7
27	54400.0	pc7
28	75072.0	pc7
29	101556.0	pc7
30	132237.0	pc7
31	167053.0	pc7
32	209813.0	pc7
33	268134.0	pc7
34	362701.0	pc7
35	530399.0	pc7
36	825865.0	pc7
37	1470440.0	pc7
38	2546162.0	pc7
39	7616404.0	pc7
40	962360.0	pc7
