Tile	Base	Mean	sample
1	1	-0.4492319828011162	pc7
1	2	-0.5257746094774447	pc7
1	3	-0.5539284601590353	pc7
1	4	-0.5447317562926628	pc7
1	5	-0.5116604606357384	pc7
1	6	-0.5316790391052777	pc7
1	7	-0.4607656106266873	pc7
1	8	-0.4948173271759586	pc7
1	9	-0.5200109885549722	pc7
1	10	-0.5047245013409096	pc7
1	11	-0.4384020800529598	pc7
1	12	-0.5935959202045638	pc7
1	13	-0.5730199234077276	pc7
1	14	-0.4698623172976255	pc7
1	15	-0.5214688696357825	pc7
1	16	-0.44557887033914767	pc7
1	17	-0.4220001042510262	pc7
1	18	-0.5470042927790502	pc7
1	19	-0.22417106068563442	pc7
1	20	-0.5754851894326194	pc7
1	21	-0.5764748563439994	pc7
1	22	-0.5278518933646339	pc7
1	23	-0.6127676728045799	pc7
1	24	-0.4336335411549328	pc7
1	25	-0.6103234167729212	pc7
1	26	-0.6953418382797381	pc7
1	27	-0.6916681259793549	pc7
1	28	-0.7373451953448082	pc7
1	29	-0.7077739362383824	pc7
1	30	-0.6633719282175932	pc7
1	31	-0.6871977029376239	pc7
1	32	-0.5916048623382224	pc7
1	33	-0.7921288406678784	pc7
1	34	-1.1738014379358717	pc7
1	35	-1.1177537538517086	pc7
1	36	-1.099961039980208	pc7
1	37	-1.3169797240950132	pc7
1	38	-1.3704597130282252	pc7
1	39	-1.2263838723567773	pc7
1	40	-1.4985604234001642	pc7
1	41	-1.407922093336083	pc7
1	42	-2.3080600859999976	pc7
1	43	-2.3224951351976415	pc7
1	44	-2.6961345428999053	pc7
1	45	-2.332744644760382	pc7
1	46	-2.0636645334959383	pc7
1	47	-2.250037015089113	pc7
1	48	-2.173796467862182	pc7
1	49	-3.5650805250581215	pc7
1	50	-1.8922840115259874	pc7
1	51	-3.0882229548850475	pc7
1	52	-2.195034615569405	pc7
1	53	-1.7454249505356003	pc7
1	54	-0.8159474787157137	pc7
1	55	-0.44152711183063786	pc7
1	56	-0.7330071029772824	pc7
1	57	-0.18577694340467588	pc7
1	58	-0.5899543455760821	pc7
1	59	-3.079496089385259	pc7
1	60	-3.5852253210802907	pc7
1	61	-1.85652632215033	pc7
1	62	-2.997001802291088	pc7
1	63	-6.260702308261159	pc7
1	64	-4.991870704763276	pc7
1	65	-5.173927664780106	pc7
1	66	-2.282693365956078	pc7
1	67	-4.201374214297935	pc7
1	68	3.2877925746569865	pc7
2	1	-0.345542708134559	pc7
2	2	-0.45562111312048614	pc7
2	3	-0.4561281102864285	pc7
2	4	-0.46183661399401643	pc7
2	5	-0.47397906305666737	pc7
2	6	-0.5323684036154717	pc7
2	7	-0.5399647215021588	pc7
2	8	-0.471890908392794	pc7
2	9	-0.5754779081104431	pc7
2	10	-0.5196002662713539	pc7
2	11	-0.6134953157949425	pc7
2	12	-0.5365582739057828	pc7
2	13	-0.5432346784192674	pc7
2	14	-0.5894825918008664	pc7
2	15	-0.6330687567957298	pc7
2	16	-0.617519577935596	pc7
2	17	-0.5399563861661889	pc7
2	18	-0.5211525665390582	pc7
2	19	-0.11809812629699934	pc7
2	20	-0.4777158102475312	pc7
2	21	-0.5884861107097947	pc7
2	22	-0.4999810608640871	pc7
2	23	-0.5733218950713166	pc7
2	24	-0.5981556842066951	pc7
2	25	-0.6637183317171349	pc7
2	26	-0.6983692332430849	pc7
2	27	-0.6622471802067267	pc7
2	28	-0.7849031274889668	pc7
2	29	-0.6281778396683677	pc7
2	30	-0.7074985958146627	pc7
2	31	-0.5656996707814699	pc7
2	32	-0.41379904284821833	pc7
2	33	-0.7130548441391653	pc7
2	34	-0.8281122695057732	pc7
2	35	-0.8017637870318666	pc7
2	36	-0.946949977619937	pc7
2	37	-0.7944339102856546	pc7
2	38	-0.428137837827812	pc7
2	39	-0.5354911882392912	pc7
2	40	-0.65876068825159	pc7
2	41	-0.7967193143521456	pc7
2	42	0.09534479927017259	pc7
2	43	-0.3518849234915393	pc7
2	44	0.27356738962547666	pc7
2	45	0.029794296049587388	pc7
2	46	0.29440775566069277	pc7
2	47	0.30507607825271776	pc7
2	48	-0.6442510133167261	pc7
2	49	-0.07881678879438425	pc7
2	50	0.04222366688412649	pc7
2	51	-0.24551514005179342	pc7
2	52	-0.3558737764085649	pc7
2	53	0.17498583251960298	pc7
2	54	-0.5682694601398666	pc7
2	55	0.16658099627746736	pc7
2	56	-0.3833902447397364	pc7
2	57	-1.404496155227335	pc7
2	58	-1.8828114884332265	pc7
2	59	-0.6900730124621788	pc7
2	60	-1.2935586544136228	pc7
2	61	-0.7136691792931842	pc7
2	62	-1.9136684689577521	pc7
2	63	-1.1273689749278262	pc7
2	64	-1.8100525229450923	pc7
2	65	1.6341531433007006	pc7
2	66	1.092306634043922	pc7
2	67	2.5486257857020647	pc7
2	68	2.7877925746569865	pc7
3	1	-0.35794350361378946	pc7
3	2	-0.426907775962988	pc7
3	3	-0.4294438975063102	pc7
3	4	-0.4615802226732342	pc7
3	5	-0.3671784629717507	pc7
3	6	-0.42288559718405594	pc7
3	7	-0.4085157733642859	pc7
3	8	-0.3602562505589617	pc7
3	9	-0.3953823969327388	pc7
3	10	-0.3756852465793159	pc7
3	11	-0.3878344345039011	pc7
3	12	-0.45627931252375475	pc7
3	13	-0.5195760717435078	pc7
3	14	-0.4935600473929682	pc7
3	15	-0.3600093461521183	pc7
3	16	-0.3980768536260797	pc7
3	17	-0.2615816041401473	pc7
3	18	-0.37178654154438107	pc7
3	19	-0.026156225489955887	pc7
3	20	-0.43408658593542526	pc7
3	21	-0.38825898852068974	pc7
3	22	-0.4488862000356306	pc7
3	23	-0.6351386861125121	pc7
3	24	-0.3998575278600711	pc7
3	25	-0.5049708623042335	pc7
3	26	-0.595348608972671	pc7
3	27	-0.606659251505171	pc7
3	28	-0.5621821575746182	pc7
3	29	-0.5474172432991793	pc7
3	30	-0.32642924689741193	pc7
3	31	-0.5478053576309918	pc7
3	32	-0.3838443058552059	pc7
3	33	-0.6128509440491499	pc7
3	34	-0.5210568238272089	pc7
3	35	-0.3231840331414375	pc7
3	36	-0.2695475840907733	pc7
3	37	-0.5896270458239457	pc7
3	38	-0.5992856318119522	pc7
3	39	-0.19495028880586318	pc7
3	40	-0.46190976847073273	pc7
3	41	0.11580447046016928	pc7
3	42	-1.0841815567267759	pc7
3	43	-0.3209141075296529	pc7
3	44	-0.42705739343595894	pc7
3	45	-0.7698658568815944	pc7
3	46	-1.7542767783938942	pc7
3	47	-1.2965486429960862	pc7
3	48	-2.806588675654389	pc7
3	49	-2.339634096486691	pc7
3	50	-2.237230653082804	pc7
3	51	-3.019388641498672	pc7
3	52	-3.1966295119011434	pc7
3	53	-1.3835533726361433	pc7
3	54	-0.7403595727806689	pc7
3	55	-1.2869073758155594	pc7
3	56	-1.4635626585328367	pc7
3	57	-1.128634086261819	pc7
3	58	-1.1892024658768392	pc7
3	59	-1.4058849782741447	pc7
3	60	-0.804272940127909	pc7
3	61	-1.0470025126265199	pc7
3	62	-1.3000321053213852	pc7
3	63	-1.0999179945356659	pc7
3	64	-5.650961613854186	pc7
3	65	-4.238862729715169	pc7
3	66	1.592306634043922	pc7
3	67	2.5486257857020647	pc7
3	68	3.2877925746569865	pc7
4	1	-0.31962142216563194	pc7
4	2	-0.45136808621882096	pc7
4	3	-0.3591498587671893	pc7
4	4	-0.3976465197432404	pc7
4	5	-0.40106227368247716	pc7
4	6	-0.37864088368639415	pc7
4	7	-0.44546024308396426	pc7
4	8	-0.473127388557117	pc7
4	9	-0.41759034455427724	pc7
4	10	-0.4174697976799848	pc7
4	11	-0.5939828774848976	pc7
4	12	-0.5378170261451842	pc7
4	13	-0.4062353868612547	pc7
4	14	-0.4068617199827642	pc7
4	15	-0.5477365311128608	pc7
4	16	-0.4620218608127402	pc7
4	17	-0.5383606711529936	pc7
4	18	-0.45823421674811016	pc7
4	19	-0.15407162144919795	pc7
4	20	-0.3668294819372093	pc7
4	21	-0.4324288800024263	pc7
4	22	-0.42384053681222866	pc7
4	23	-0.4223718613832119	pc7
4	24	-0.6189817465834935	pc7
4	25	-0.5755681772648842	pc7
4	26	-0.47515574277048245	pc7
4	27	-0.716127369840379	pc7
4	28	-0.5984656733157365	pc7
4	29	-0.7205229064848169	pc7
4	30	-0.7398960375881387	pc7
4	31	-0.7797715668297869	pc7
4	32	-0.7647166854973335	pc7
4	33	-0.5471628762952605	pc7
4	34	-0.9873956392191374	pc7
4	35	-0.7161035201464045	pc7
4	36	-0.9139079708937174	pc7
4	37	-0.46837756617362203	pc7
4	38	-0.7289121029018375	pc7
4	39	-0.48347399570241834	pc7
4	40	-0.6023171318080358	pc7
4	41	-0.5891246191894695	pc7
4	42	-0.2032782644131359	pc7
4	43	-0.603522803181832	pc7
4	44	-0.2455496777769639	pc7
4	45	-0.6244113114270462	pc7
4	46	-0.4236645334959377	pc7
4	47	-0.5080188834375505	pc7
4	48	-1.4715237405894541	pc7
4	49	-1.0740090964866909	pc7
4	50	-0.7171998364418144	pc7
4	51	-0.6154338392387899	pc7
4	52	-0.19048916102395452	pc7
4	53	-0.6603717923117074	pc7
4	54	-1.0575742729740867	pc7
4	55	-0.9394796097831417	pc7
4	56	-1.6749262948964727	pc7
4	57	-2.2498462074739436	pc7
4	58	-1.8158472027189418	pc7
4	59	-2.359588681977854	pc7
4	60	-1.8800971159520827	pc7
4	61	-2.17200251262652	pc7
4	62	-0.38589069117997354	pc7
4	63	-2.0863433339021853	pc7
4	64	0.5157050528124785	pc7
4	65	-0.5375640284164689	pc7
4	66	-3.6349660932288046	pc7
4	67	-1.1180408809645996	pc7
4	68	-5.545540758676346	pc7
5	1	-0.5889489782166706	pc7
5	2	-0.6252386836286803	pc7
5	3	-0.5346997659161303	pc7
5	4	-0.5410273202350027	pc7
5	5	-0.5349754158672013	pc7
5	6	-0.4075383356088764	pc7
5	7	-0.45495897904009297	pc7
5	8	-0.5319872286231089	pc7
5	9	-0.48660810385051434	pc7
5	10	-0.4022837781974573	pc7
5	11	-0.4535618227463587	pc7
5	12	-0.5087764853519445	pc7
5	13	-0.4720136804928856	pc7
5	14	-0.3412029225455626	pc7
5	15	-0.34770030194837886	pc7
5	16	-0.3120538418206067	pc7
5	17	-0.25428373132169213	pc7
5	18	-0.30443341630893883	pc7
5	19	0.03220740759932994	pc7
5	20	-0.4429567336298419	pc7
5	21	-0.2810878388390634	pc7
5	22	-0.324781176481757	pc7
