Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	39.05373207562841	40.0	39.0	40.0	38.0	40.0	pt1
2	38.9539885947188	40.0	39.0	40.0	38.0	40.0	pt1
3	38.89169838887895	40.0	39.0	40.0	37.0	40.0	pt1
4	38.919934455113165	40.0	39.0	40.0	37.0	40.0	pt1
5	38.952140525830615	40.0	39.0	40.0	38.0	40.0	pt1
6	38.868756779222885	40.0	39.0	40.0	37.0	40.0	pt1
7	38.8626507779286	40.0	39.0	40.0	37.0	40.0	pt1
8	38.90169501418711	40.0	39.0	40.0	37.0	40.0	pt1
9	38.82202408261193	40.0	39.0	40.0	36.0	40.0	pt1
10	38.86107289694077	40.0	39.0	40.0	36.0	40.0	pt1
11	38.91321679092312	40.0	39.0	40.0	37.0	40.0	pt1
12	38.85537401690027	40.0	39.0	40.0	36.0	40.0	pt1
13	38.841235300715454	40.0	39.0	40.0	36.0	40.0	pt1
14	38.766474676567505	40.0	39.0	40.0	36.0	40.0	pt1
15	38.75190668453858	40.0	39.0	40.0	36.0	40.0	pt1
16	38.84314958812082	40.0	39.0	40.0	36.0	40.0	pt1
17	38.76410756895637	40.0	39.0	40.0	36.0	40.0	pt1
18	38.665855595670834	40.0	39.0	40.0	36.0	40.0	pt1
19	38.79582017910964	40.0	39.0	40.0	36.0	40.0	pt1
20	38.60621973200131	40.0	38.0	40.0	36.0	40.0	pt1
21	38.4891226349064	40.0	38.0	40.0	35.0	40.0	pt1
22	38.59805194320408	40.0	38.0	40.0	36.0	40.0	pt1
23	38.38971387795513	40.0	38.0	40.0	35.0	40.0	pt1
24	38.17291484040295	40.0	38.0	40.0	35.0	40.0	pt1
25	38.437253259355884	40.0	38.0	40.0	35.0	40.0	pt1
26	38.40184267688182	40.0	38.0	40.0	35.0	40.0	pt1
27	38.21648850462584	40.0	38.0	40.0	35.0	40.0	pt1
28	38.32970757760107	40.0	38.0	40.0	35.0	40.0	pt1
29	38.12411422788394	40.0	38.0	40.0	35.0	40.0	pt1
30	37.762132552602445	39.0	38.0	40.0	33.0	40.0	pt1
31	37.99903595716382	39.0	38.0	40.0	35.0	40.0	pt1
32	37.66227521088743	39.0	38.0	40.0	33.0	40.0	pt1
33	38.05422939772866	40.0	38.0	40.0	35.0	40.0	pt1
34	37.18943725334311	39.0	36.0	40.0	33.0	40.0	pt1
35	36.53705878699244	38.0	36.0	40.0	31.0	40.0	pt1
36	36.58144443235415	38.0	36.0	40.0	32.0	40.0	pt1
37	36.57210551488172	38.0	36.0	40.0	32.0	40.0	pt1
38	36.58017483956023	38.0	36.0	40.0	32.0	40.0	pt1
39	36.4954421692454	38.0	35.0	40.0	31.0	40.0	pt1
40	36.04371287172541	38.0	35.0	40.0	30.0	40.0	pt1
41	35.821950551368886	38.0	35.0	40.0	30.0	40.0	pt1
42	36.103134587884604	38.0	35.0	40.0	31.0	40.0	pt1
43	36.25134498574439	38.0	35.0	40.0	31.0	40.0	pt1
44	35.964979075548285	38.0	35.0	40.0	30.0	40.0	pt1
45	35.890057629538966	38.0	35.0	40.0	30.0	40.0	pt1
46	36.05304349189918	38.0	35.0	40.0	31.0	40.0	pt1
47	35.749255878063884	38.0	35.0	40.0	31.0	40.0	pt1
48	35.661245753114386	38.0	35.0	39.0	30.0	40.0	pt1
49	35.608188813598254	38.0	35.0	39.0	30.0	40.0	pt1
50	35.78637566137566	38.0	35.0	40.0	30.0	40.0	pt1
51	35.51847534677702	38.0	35.0	40.0	30.0	40.0	pt1
52	35.53432732316227	38.0	35.0	40.0	30.0	40.0	pt1
53	35.378408112503585	38.0	34.0	39.0	30.0	40.0	pt1
54	35.13603869927439	38.0	33.0	39.0	29.0	40.0	pt1
55	35.304709472802344	38.0	34.0	39.0	30.0	40.0	pt1
56	35.21687138493534	38.0	34.0	40.0	29.0	40.0	pt1
57	35.220627802690586	38.0	34.0	39.0	29.0	40.0	pt1
58	34.95030737704918	38.0	34.0	39.0	29.0	40.0	pt1
59	34.58524086094978	37.0	33.0	39.0	27.0	40.0	pt1
60	35.00677200902935	38.0	34.0	39.0	29.0	40.0	pt1
61	35.83033757124068	38.0	35.0	39.0	32.0	40.0	pt1
62	35.88581730769231	38.0	35.0	39.0	31.0	40.0	pt1
63	35.931991801751444	38.0	35.0	39.0	31.0	40.0	pt1
64	35.78210023866348	38.0	35.0	39.0	31.0	40.0	pt1
65	35.41923774954628	37.0	35.0	39.0	31.0	40.0	pt1
66	35.8335709194583	38.0	35.0	39.0	31.0	40.0	pt1
67	36.69540768509841	38.0	36.0	39.0	33.0	40.0	pt1
68	36.35798203178991	38.0	36.0	39.0	33.0	40.0	pt1
