Quality	Count	sample
2	631.0	pt2
3	162.0	pt2
4	57.0	pt2
5	60.0	pt2
6	66.0	pt2
7	114.0	pt2
8	133.0	pt2
9	135.0	pt2
10	209.0	pt2
11	252.0	pt2
12	402.0	pt2
13	450.0	pt2
14	518.0	pt2
15	649.0	pt2
16	939.0	pt2
17	1334.0	pt2
18	1785.0	pt2
19	2027.0	pt2
20	2365.0	pt2
21	3131.0	pt2
22	4237.0	pt2
23	5933.0	pt2
24	9189.0	pt2
25	14195.0	pt2
26	21663.0	pt2
27	31538.0	pt2
28	44927.0	pt2
29	61448.0	pt2
30	80696.0	pt2
31	103173.0	pt2
32	130188.0	pt2
33	165411.0	pt2
34	221882.0	pt2
35	324470.0	pt2
36	521413.0	pt2
37	1029613.0	pt2
38	1939065.0	pt2
39	7643215.0	pt2
40	1309813.0	pt2
