Tile	Base	Mean	sample
1	1	-0.34515313746028653	pt4
1	2	-0.397240437220276	pt4
1	3	-0.4271131643805859	pt4
1	4	-0.3895352952847162	pt4
1	5	-0.3656460856478958	pt4
1	6	-0.4622893013640237	pt4
1	7	-0.42428008638547965	pt4
1	8	-0.44683388701982096	pt4
1	9	-0.5418418083417436	pt4
1	10	-0.3842654299807009	pt4
1	11	-0.3782488098499286	pt4
1	12	-0.47085946552930125	pt4
1	13	-0.48925069062645576	pt4
1	14	-0.4629231366233171	pt4
1	15	-0.4427611165273291	pt4
1	16	-0.4637831124485956	pt4
1	17	-0.4659654981429924	pt4
1	18	-0.6005442537883638	pt4
1	19	-0.5865789316140706	pt4
1	20	-0.4795433944723726	pt4
1	21	-0.6166441496572617	pt4
1	22	-0.7942160065197186	pt4
1	23	-0.5748323058327571	pt4
1	24	-0.48192018789849556	pt4
1	25	-0.5746306755270467	pt4
1	26	-0.5862900381696363	pt4
1	27	-0.604295563267172	pt4
1	28	-0.5475685726538089	pt4
1	29	-0.5150371147449064	pt4
1	30	-0.8190660833475363	pt4
1	31	-0.7505018958917589	pt4
1	32	-0.6480694942544716	pt4
1	33	-0.8106975509260792	pt4
1	34	-1.420979033754847	pt4
1	35	-0.7077712411760757	pt4
1	36	-0.66550417996379	pt4
1	37	-1.135387908787692	pt4
1	38	-0.7739293340295674	pt4
1	39	-0.6220301236032384	pt4
1	40	-0.6084157689817218	pt4
1	41	0.19718194958671376	pt4
1	42	-0.7680703894452847	pt4
1	43	-0.4355916380796572	pt4
1	44	-1.1726227898459598	pt4
1	45	-1.2407280280738036	pt4
1	46	-1.3304481006805986	pt4
1	47	-1.7423205610780883	pt4
1	48	-2.3337984852478755	pt4
1	49	-1.9654243659683672	pt4
1	50	-1.6360221702442885	pt4
1	51	-3.767789401559959	pt4
1	52	-3.1245207887752287	pt4
1	53	-4.0632452609972844	pt4
1	54	-2.894300382638022	pt4
1	55	-1.9851895433949522	pt4
1	56	-2.4255595429475747	pt4
1	57	-2.301489431856133	pt4
1	58	-1.752415634971328	pt4
1	59	-3.046974708047749	pt4
1	60	-4.711379158201989	pt4
1	61	-3.731459056573783	pt4
1	62	-5.405919100392797	pt4
1	63	-5.188394325581836	pt4
1	64	-6.009279933029919	pt4
