GC_Content	Count	sample
0	40.0	pt5
1	39.5	pt5
2	37.0	pt5
3	34.0	pt5
4	33.5	pt5
5	32.5	pt5
6	34.0	pt5
7	47.0	pt5
8	62.5	pt5
9	75.5	pt5
10	86.5	pt5
11	97.0	pt5
12	134.5	pt5
13	207.0	pt5
14	285.5	pt5
15	399.5	pt5
16	571.0	pt5
17	828.5	pt5
18	1277.0	pt5
19	2370.0	pt5
20	6854.5	pt5
21	11558.5	pt5
22	12172.5	pt5
23	12596.0	pt5
24	15379.0	pt5
25	31664.0	pt5
26	50674.5	pt5
27	55722.0	pt5
28	61865.5	pt5
29	71164.5	pt5
30	124468.5	pt5
31	222342.5	pt5
32	275103.5	pt5
33	353336.0	pt5
34	500021.5	pt5
35	575140.5	pt5
36	619761.0	pt5
37	619507.5	pt5
38	583702.5	pt5
39	712297.5	pt5
40	843256.0	pt5
41	866608.5	pt5
42	894127.5	pt5
43	1009276.0	pt5
44	1154460.0	pt5
45	1289247.0	pt5
46	1483570.5	pt5
47	1945303.0	pt5
48	2430430.0	pt5
49	2619818.0	pt5
50	2401134.5	pt5
51	2096971.0	pt5
52	2082722.0	pt5
53	1838943.5	pt5
54	1512923.5	pt5
55	954792.5	pt5
56	688046.5	pt5
57	1145968.5	pt5
58	1364595.0	pt5
59	1132389.0	pt5
60	743953.0	pt5
61	542765.0	pt5
62	516451.0	pt5
63	461405.0	pt5
64	363880.5	pt5
65	299289.0	pt5
66	193582.5	pt5
67	98129.5	pt5
68	81737.0	pt5
69	71131.5	pt5
70	67612.0	pt5
71	62110.0	pt5
72	60086.5	pt5
73	59510.5	pt5
74	48392.5	pt5
75	34180.5	pt5
76	23476.0	pt5
77	17728.5	pt5
78	15623.0	pt5
79	14322.0	pt5
80	12581.0	pt5
81	12032.0	pt5
82	12280.5	pt5
83	11116.0	pt5
84	9129.5	pt5
85	8398.5	pt5
86	8438.5	pt5
87	8295.5	pt5
88	8503.0	pt5
89	8680.0	pt5
90	8558.0	pt5
91	6990.5	pt5
92	4436.5	pt5
93	2468.0	pt5
94	1355.5	pt5
95	1039.5	pt5
96	954.5	pt5
97	755.0	pt5
98	370.0	pt5
99	173.0	pt5
100	170.0	pt5
