Base	N-Count	sample
1	0.03455633934558027	pt7
2	0.0	pt7
3	0.0	pt7
4	1.0346209384904273E-4	pt7
5	0.0029745351981599784	pt7
6	4.1384837539617093E-4	pt7
7	3.03919900681563E-4	pt7
8	8.406295125234722E-5	pt7
9	3.233190432782585E-5	pt7
10	0.0	pt7
11	0.0	pt7
12	0.017769614618573088	pt7
13	2.845207580848675E-4	pt7
14	1.2932761731130342E-5	pt7
15	0.0	pt7
16	0.0	pt7
17	0.0	pt7
18	0.0	pt7
19	0.7097094025477564	pt7
20	0.0	pt7
21	0.0	pt7
22	0.0	pt7
23	0.0	pt7
24	0.0	pt7
25	0.0	pt7
26	0.0	pt7
27	0.0	pt7
28	3.7138307700163874E-5	pt7
29	0.0	pt7
30	1.1620824129479222E-4	pt7
31	3.221508076522092E-4	pt7
32	2.1808300675403072E-5	pt7
33	0.0	pt7
34	6.069854311356819E-5	pt7
35	3.29836697850894E-4	pt7
36	4.3932999247281283E-4	pt7
37	6.401884714860055E-4	pt7
38	5.209255805715596E-4	pt7
39	0.0013154952181748819	pt7
40	3.997681344820004E-4	pt7
41	4.745116089265124E-4	pt7
42	0.005270616896426522	pt7
43	0.0	pt7
44	0.0	pt7
45	0.0	pt7
46	0.0	pt7
47	0.0	pt7
48	0.0	pt7
49	0.0	pt7
50	0.0	pt7
51	0.0	pt7
52	0.0	pt7
53	0.0	pt7
54	0.0	pt7
55	0.00415817705517901	pt7
56	1.0235524813066994	pt7
57	0.0	pt7
58	0.0	pt7
59	0.0	pt7
60	0.0	pt7
61	0.0	pt7
62	0.0	pt7
63	0.0	pt7
64	0.0	pt7
65	0.0	pt7
66	0.0	pt7
67	0.0	pt7
68	0.0	pt7
