ID	POS	ANN
C:1  chrM 4263 4510 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000361453 +;  rmsk.bed tRNA -;
C:2	  chr1 566061 566170 +; 	 ensGene.bed ENST00000440200 -;
C:3	  chr1 566263 566347 +; 	 ensGene.bed ENST00000440200 -;
C:4	  chrM 5828 6039 +; 	 ensGene.bed ENST00000361624 +;
C:5	  chrM 7518 7620 +; 	 ensGene.bed ENST00000361739 +;
C:6	  chrM 8294 8400 +; 	 ensGene.bed ENST00000361851 +;
C:7	  chr19 893498 893591 +; 	 ensGene.bed ENST00000384776 +;  rmsk.bed SINE -;
C:8	  chr15 65597014 65597131 +; 	 ensGene.bed ENST00000363286 +;  rmsk.bed snRNA +;
C:9	  chr15 65588388 65588505 +; 	 ensGene.bed ENST00000558873 -;  rmsk.bed snRNA +;
C:10	  chr1 11968238 11968332 +; 	 ensGene.bed ENST00000362477 +;  rmsk.bed snRNA +;
C:11	  chr17 8029059 8029137 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr17.tRNA5-GlyGCC +;
C:12	  chr21 18827103 18827178 -; 	 rmsk.bed tRNA +;  tRNA.bed chr21.tRNA2-GlyGCC +;
C:13	  chr1 161439543 161439618 -; 	 rmsk.bed tRNA +;  tRNA.bed chr1.tRNA70-GlyTCC +;
C:14	  chr2 211796819 211796859 +; 	 rmsk.bed tRNA +;
C:15	  chr1 149680227 149680280 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA91-PseudoCCC +;
C:16	  chr2 204229165 204229201 -; 	 refGene.bed NM_001282925 -;  ensGene.bed ENST00000422511 -;  rmsk.bed tRNA +;  tRNA.bed chr2.tRNA17-PseudoTTC +;
C:17	  chr19 8793666 8793703 -; 	 rmsk.bed tRNA +;
C:18	  chr1 17188412 17188487 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000466256 +;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA4-GlyCCC +;
C:19	  chr17 64751955 64751998 +; 	 refGene.bed NM_002737 +;  ensGene.bed ENST00000284384 +;  LINE + -41 -763;
C:20	  chr17 19764174 19764210 +; 	 refGene.bed NM_014683 -;  ensGene.bed ENST00000580118 -;  rmsk.bed tRNA +;  tRNA.bed chr17.tRNA13-GlyCCC +;
C:21	  chrY 20777398 20777424 -; 	 ensGene.bed ENST00000447585 +;  LTR - 1 -404;
C:22	  chr17 8124865 8124939 +; 	 refGene.bed NR_026951 -;  ensGene.bed ENST00000315707 -;  rmsk.bed tRNA +;  tRNA.bed chr17.tRNA10-GlyTCC +;
C:23	  chr13 89494693 89494729 +; 	 rmsk.bed tRNA +;
C:24	  chr1 17067010 17067177 +; 	 ensGene.bed ENST00000466256 +;  rmsk.bed snRNA +;
C:25	  chr1 161431805 161431881 -; 	 rmsk.bed tRNA +;  tRNA.bed chr1.tRNA74-GluCTC +;
C:26	  chr1 17199076 17199150 +; 	 ensGene.bed ENST00000466256 +;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA5-GluTTC +;
C:27	  chrY 3235813 3235847 +; 	 rmsk.bed tRNA +;
C:28	  chr2 11691829 11691901 +; 	 refGene.bed NM_014668 +;  ensGene.bed ENST00000381483 +;  rmsk.bed tRNA +;  tRNA.bed chr2.tRNA1-PseudoCCC +;
C:29	  chr1 171570068 171570094 -;  LTR - 6 -891;
C:30	  chrX 88961684 88961719 +; 	 rmsk.bed tRNA +;
C:31	  chr4 86243637 86243674 +; 	 rmsk.bed tRNA +;
