id	ann	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7
C:1	pirna2.bed:1,;rmsk.bed:tRNA,;ensGene.bed:ENST00000361453,;	98429	16283	44603	50737	36402	23492	34884	31783	19052	38543	61436	21229	53392	46378	66787	20540	39047	50153	26989	23901	37430	7891	69087	42596	42497	48254	40859	37397
C:2	ensGene.bed:ENST00000440200,;	21123	4283	10106	13509	9222	8301	12939	8516	4103	8977	12946	5784	13999	13346	11188	2696	6662	11526	6258	5478	9633	244	6920	6721	9102	9979	6070	5113
C:3	ensGene.bed:ENST00000440200,;	144	0	90	40	0	0	52	311	87	225	85	0	82	68	153	10	93	62	0	14	11	67	397	105	31	275	107	0
C:4	ensGene.bed:ENST00000361624,;	357	0	215	102	37	22	98	32	37	71	199	15	38	396	437	17	175	145	36	65	190	84	84	133	143	128	91	45
C:5	ensGene.bed:ENST00000361739,;	863	136	160	472	143	141	354	167	39	160	329	208	497	177	650	135	257	293	86	193	222	126	182	251	222	225	526	284
C:6	ensGene.bed:ENST00000361851,;	95376	29222	16302	11820	32543	23140	55793	15570	22260	66944	62248	15329	71691	23671	61401	15870	16126	14338	15656	12874	34291	2232	18928	23034	22276	52281	27103	21757
C:7	rmsk.bed:SINE,;ensGene.bed:ENST00000384776,;	176	1017	142	36	239	48	126	477	423	90	151	36	54	179	81	827	47	70	263	106	159	312	182	1184	156	684	263	123
C:8	rmsk.bed:snRNA,;ensGene.bed:ENST00000363286,;	196	557	12	202	264	207	247	46	150	127	80	76	41	98	984	1825	1615	370	489	307	485	178	738	1747	496	1029	832	430
C:9	rmsk.bed:snRNA,;ensGene.bed:ENST00000558873,;	211	101	35	44	355	116	103	38	108	184	112	17	65	87	2043	1486	4055	153	427	384	442	320	1495	6372	618	2224	1583	785
C:10	rmsk.bed:snRNA,;ensGene.bed:ENST00000362477,;	1074	325	187	224	220	261	262	55	199	457	280	108	282	437	1602	346	542	181	142	162	199	31	441	557	151	47	265	94
C:11	tRNA.bed:chr17.tRNA5-GlyGCC,;pirna2.bed:1,;rmsk.bed:tRNA,;	204579	870585	1000299	373448	676711	2085943	726982	1658626	1357286	749959	639947	1076898	1842222	941795	116451	738647	746193	263031	456396	1737743	745827	2197361	403009	393888	767627	445782	855878	1571419
